,county,district_name,instruction,support,community,other,sum,year
281,Amount,,"2,750,490","2,283,555","11,742","884,543","5,930,330",2011
282,Per Pupil,446.7 ," 6,157 "," 5,112 ", 26 ," 1,980 "," 13,276 ",2011
283,All Funds,,46.4 ,38.5 ,0.2 ,14.9 ,100.0 ,2011
284,GRAND,EAST GRAND 2,,,,,,2011
285,Amount,,"7,257,329","5,706,296","4,136","10,626,927","23,594,688",2011
286,Per Pupil,"1,301.6 "," 5,576 "," 4,384 ", 3 ," 8,165 "," 18,127 ",2011
287,All Funds,,30.8 ,24.2 ,0.0 ,45.0 ,100.0 ,2011
288,GUNNISON,GUNNISON WATERSHED RE1J,,,,,,2011
289,Amount,,"9,551,912","6,088,434",626,"5,185,131","20,826,103",2011
290,Per Pupil,"1,724.0 "," 5,541 "," 3,532 ", 0 ," 3,008 "," 12,080 ",2011
291,All Funds,,45.9 ,29.2 ,0.0 ,24.9 ,100.0 ,2011
292,HINSDALE,HINSDALE COUNTY RE 1,,,,,,2011
293,Amount,,"806,946","615,043","6,425","101,294","1,529,708",2011
294,Per Pupil,82.4 ," 9,793 "," 7,464 ", 78 ," 1,229 "," 18,564 ",2011
295,All Funds,,52.8 ,40.2 ,0.4 ,6.6 ,100.0 ,2011
296,HUERFANO,HUERFANO RE-1,,,,,,2011
297,Amount,,"2,784,726","2,541,904",0,"5,437,592","10,764,222",2011
298,Per Pupil,573.3 ," 4,857 "," 4,434 ", 0 ," 9,485 "," 18,776 ",2011
299,All Funds,,25.9 ,23.6 ,0.0 ,50.5 ,100.0 ,2011
300,HUERFANO,LA VETA RE-2,,,,,,2011
301,Amount,,"1,405,165","1,240,026",0,"318,191","2,963,382",2011
302,Per Pupil,234.1 ," 6,002 "," 5,297 ", 0 ," 1,359 "," 12,659 ",2011
303,All Funds,,47.4 ,41.8 ,0.0 ,10.7 ,100.0 ,2011
304,JACKSON,NORTH PARK R-1,,,,,,2011
305,Amount,,"1,533,359","1,156,026",0,388,"2,689,773",2011
306,Per Pupil,188.1 ," 8,152 "," 6,146 ", 0 , 2 ," 14,300 ",2011
307,All Funds,,57.0 ,43.0 ,0.0 ,0.0 ,100.0 ,2011
308,JEFFERSON,JEFFERSON COUNTY R-1,,,,,,2011
309,Amount,,"431,165,045","289,496,883","176,792","128,140,153","848,978,872",2011
310,Per Pupil,"81,021.8 "," 5,322 "," 3,573 ", 2 ," 1,582 "," 10,478 ",2011
311,All Funds,,50.8 ,34.1 ,0.0 ,15.1 ,100.0 ,2011
312,KIOWA,EADS RE-1,,,,,,2011
313,Amount,,"1,246,047","887,395",0,"22,922","2,156,364",2011
314,Per Pupil,175.8 ," 7,088 "," 5,048 ", 0 , 130 ," 12,266 ",2011
315,All Funds,,57.8 ,41.2 ,0.0 ,1.1 ,100.0 ,2011
316,KIOWA,PLAINVIEW RE-2,,,,,,2011
317,Amount,,"624,962","584,719",0,0,"1,209,681",2011
318,Per Pupil,79.1 ," 7,901 "," 7,392 ", 0 , 0 ," 15,293 ",2011
319,All Funds,,51.7 ,48.3 ,0.0 ,0.0 ,100.0 ,2011
320,KIT CARSON,ARRIBA-FLAGLER C-20,,,,,,2011
321,Amount,,"1,185,567","867,428","4,923","125,178","2,183,096",2011
322,Per Pupil,149.9 ," 7,909 "," 5,787 ", 33 , 835 ," 14,564 ",2011
323,All Funds,,54.3 ,39.7 ,0.2 ,5.7 ,100.0 ,2011
324,KIT CARSON,HI PLAINS R-23,,,,,,2011
325,Amount,,"922,268","788,240",0,"32,985","1,743,493",2011
326,Per Pupil,117.0 ," 7,883 "," 6,737 ", 0 , 282 ," 14,902 ",2011
327,All Funds,,52.9 ,45.2 ,0.0 ,1.9 ,100.0 ,2011
328,KIT CARSON,STRATTON R-4,,,,,,2011
329,Amount,,"1,342,544","1,022,635",0,"28,087","2,393,265",2011
330,Per Pupil,183.0 ," 7,336 "," 5,588 ", 0 , 153 ," 13,078 ",2011
331,All Funds,,56.1 ,42.7 ,0.0 ,1.2 ,100.0 ,2011
332,KIT CARSON,BETHUNE R-5,,,,,,2011
333,Amount,,"1,167,087","844,353",0,100,"2,011,541",2011
334,Per Pupil,121.3 ," 9,621 "," 6,961 ", 0 , 1 ," 16,583 ",2011
335,All Funds,,58.0 ,42.0 ,0.0 ,0.0 ,100.0 ,2011
336,KIT CARSON,BURLINGTON RE-6J,,,,,,2011
337,Amount,,"3,683,266","2,456,917","27,204","550,869","6,718,256",2011
338,Per Pupil,735.8 ," 5,006 "," 3,339 ", 37 , 749 ," 9,131 ",2011
339,All Funds,,54.8 ,36.6 ,0.4 ,8.2 ,100.0 ,2011
340,LAKE,LAKE COUNTY R-1,,,,,,2011
341,Amount,,"5,941,246","4,792,777","818,255","865,817","12,418,094",2011
342,Per Pupil,"1,088.5 "," 5,458 "," 4,403 ", 752 , 795 ," 11,408 ",2011
343,All Funds,,47.8 ,38.6 ,6.6 ,7.0 ,100.0 ,2011
344,LA PLATA,DURANGO 9-R,,,,,,2011
345,Amount,,"24,173,539","16,460,438","181,173","28,142,976","68,958,126",2011
346,Per Pupil,"4,443.7 "," 5,440 "," 3,704 ", 41 ," 6,333 "," 15,518 ",2011
347,All Funds,,35.1 ,23.9 ,0.3 ,40.8 ,100.0 ,2011
348,LA PLATA,BAYFIELD 10 JT-R,,,,,,2011
349,Amount,,"6,115,310","4,962,845",0,"2,707,143","13,785,298",2011
350,Per Pupil,"1,323.2 "," 4,622 "," 3,751 ", 0 ," 2,046 "," 10,418 ",2011
351,All Funds,,44.4 ,36.0 ,0.0 ,19.6 ,100.0 ,2011
352,LA PLATA,IGNACIO 11 JT,,,,,,2011
353,Amount,,"5,057,006","4,494,904",496,"1,913,360","11,465,765",2011
354,Per Pupil,770.2 ," 6,566 "," 5,836 ", 1 ," 2,484 "," 14,887 ",2011
355,All Funds,,44.1 ,39.2 ,0.0 ,16.7 ,100.0 ,2011
356,LARIMER,POUDRE R-1,,,,,,2011
357,Amount,,"136,165,012","110,123,060","474,289","57,170,841","303,933,202",2011
358,Per Pupil,"26,012.7 "," 5,235 "," 4,233 ", 18 ," 2,198 "," 11,684 ",2011
359,All Funds,,44.8 ,36.2 ,0.2 ,18.8 ,100.0 ,2011
360,LARIMER,THOMPSON R-2J,,,,,,2011
361,Amount,,"72,582,278","57,124,467","1,271,536","112,663,428","243,641,709",2011
362,Per Pupil,"14,672.9 "," 4,947 "," 3,893 ", 87 ," 7,678 "," 16,605 ",2011
363,All Funds,,29.8 ,23.4 ,0.5 ,46.2 ,100.0 ,2011
364,LARIMER,PARK (ESTES PARK) R-3,,,,,,2011
365,Amount,,"6,470,362","5,226,162",0,"10,935,304","22,631,828",2011
366,Per Pupil,"1,126.2 "," 5,745 "," 4,641 ", 0 ," 9,710 "," 20,096 ",2011
367,All Funds,,28.6 ,23.1 ,0.0 ,48.3 ,100.0 ,2011
368,LAS ANIMAS,TRINIDAD 1,,,,,,2011
369,Amount,,"6,885,216","5,774,670","1,788","533,950","13,195,623",2011
370,Per Pupil,"1,435.8 "," 4,795 "," 4,022 ", 1 , 372 ," 9,190 ",2011
371,All Funds,,52.2 ,43.8 ,0.0 ,4.0 ,100.0 ,2011
372,LAS ANIMAS,PRIMERO REORGANIZED 2,,,,,,2011
373,Amount,,"1,453,629","1,524,788",0,"1,372,821","4,351,238",2011
374,Per Pupil,198.3 ," 7,330 "," 7,689 ", 0 ," 6,923 "," 21,943 ",2011
375,All Funds,,33.4 ,35.0 ,0.0 ,31.6 ,100.0 ,2011
376,LAS ANIMAS,HOEHNE REORGANIZED 3,,,,,,2011
377,Amount,,"1,332,956","1,407,758",0,"288,931","3,029,645",2011
378,Per Pupil,337.6 ," 3,948 "," 4,170 ", 0 , 856 ," 8,974 ",2011
379,All Funds,,44.0 ,46.5 ,0.0 ,9.5 ,100.0 ,2011
380,LAS ANIMAS,AGUILAR REORGANIZED 6,,,,,,2011
381,Amount,,"1,022,003","971,991",0,"85,148","2,079,142",2011
382,Per Pupil,110.7 ," 9,232 "," 8,780 ", 0 , 769 ," 18,782 ",2011
383,All Funds,,49.2 ,46.7 ,0.0 ,4.1 ,100.0 ,2011
384,LAS ANIMAS,BRANSON REORGANIZED 82,,,,,,2011
385,Amount,,"1,894,160","1,121,924","9,102",0,"3,025,186",2011
386,Per Pupil,433.6 ," 4,368 "," 2,587 ", 21 , 0 ," 6,977 ",2011
387,All Funds,,62.6 ,37.1 ,0.3 ,0.0 ,100.0 ,2011
388,LAS ANIMAS,KIM REORGANIZED 88,,,,,,2011
389,Amount,,"523,570","625,783",0,0,"1,149,352",2011
390,Per Pupil,55.5 ," 9,434 "," 11,275 ", 0 , 0 ," 20,709 ",2011
391,All Funds,,45.6 ,54.4 ,0.0 ,0.0 ,100.0 ,2011
392,LINCOLN,GENOA-HUGO C-113,,,,,,2011
393,Amount,,"1,274,156","925,712",0,"128,678","2,328,546",2011
394,Per Pupil,167.1 ," 7,625 "," 5,540 ", 0 , 770 ," 13,935 ",2011
395,All Funds,,54.7 ,39.8 ,0.0 ,5.5 ,100.0 ,2011
396,LINCOLN,LIMON RE-4J,,,,,,2011
397,Amount,,"2,356,132","1,531,066",321,"256,916","4,144,434",2011
398,Per Pupil,451.5 ," 5,218 "," 3,391 ", 1 , 569 ," 9,179 ",2011
399,All Funds,,56.9 ,36.9 ,0.0 ,6.2 ,100.0 ,2011
400,LINCOLN,KARVAL RE-23,,,,,,2011
401,Amount,,"1,014,434","924,198",0,0,"1,938,632",2011
402,Per Pupil,199.9 ," 5,075 "," 4,623 ", 0 , 0 ," 9,698 ",2011
403,All Funds,,52.3 ,47.7 ,0.0 ,0.0 ,100.0 ,2011
404,LOGAN,VALLEY RE-1,,,,,,2011
405,Amount,,"11,715,436","7,949,587","57,923","12,074,093","31,797,039",2011
406,Per Pupil,"2,300.6 "," 5,092 "," 3,455 ", 25 ," 5,248 "," 13,821 ",2011
407,All Funds,,36.8 ,25.0 ,0.2 ,38.0 ,100.0 ,2011
408,LOGAN,FRENCHMAN RE-3,,,,,,2011
409,Amount,,"1,438,512","842,803",0,"40,889","2,322,204",2011
410,Per Pupil,180.0 ," 7,992 "," 4,682 ", 0 , 227 ," 12,901 ",2011
411,All Funds,,61.9 ,36.3 ,0.0 ,1.8 ,100.0 ,2011
412,LOGAN,BUFFALO RE-4,,,,,,2011
413,Amount,,"1,824,249","1,289,719",0,"158,317","3,272,285",2011
414,Per Pupil,308.0 ," 5,923 "," 4,187 ", 0 , 514 ," 10,624 ",2011
415,All Funds,,55.7 ,39.4 ,0.0 ,4.8 ,100.0 ,2011
416,LOGAN,PLATEAU RE-5,,,,,,2011
417,Amount,,"1,434,456","1,065,607",0,"1,256,041","3,756,105",2011
418,Per Pupil,172.0 ," 8,340 "," 6,195 ", 0 ," 7,303 "," 21,838 ",2011
419,All Funds,,38.2 ,28.4 ,0.0 ,33.4 ,100.0 ,2011
420,MESA,DE BEQUE 49JT,,,,,,2011
421,Amount,,"973,758","767,416",0,"268,083","2,009,257",2011
422,Per Pupil,124.9 ," 7,796 "," 6,144 ", 0 ," 2,146 "," 16,087 ",2011
423,All Funds,,48.5 ,38.2 ,0.0 ,13.3 ,100.0 ,2011
424,MESA,PLATEAU VALLEY 50,,,,,,2011
425,Amount,,"2,175,177","1,578,288",0,"3,098,662","6,852,126",2011
426,Per Pupil,462.8 ," 4,700 "," 3,410 ", 0 ," 6,695 "," 14,806 ",2011
427,All Funds,,31.7 ,23.0 ,0.0 ,45.2 ,100.0 ,2011
428,MESA,MESA COUNTY VALLEY 51,,,,,,2011
429,Amount,,"104,127,883","63,213,991","349,433","104,737,817","272,429,124",2011
430,Per Pupil,"20,964.9 "," 4,967 "," 3,015 ", 17 ," 4,996 "," 12,995 ",2011
431,All Funds,,38.2 ,23.2 ,0.1 ,38.4 ,100.0 ,2011
432,MINERAL,CREEDE CONSOLIDATED 1,,,,,,2011
433,Amount,,"890,961","661,968",0,"101,920","1,654,849",2011
434,Per Pupil,97.7 ," 9,119 "," 6,776 ", 0 ," 1,043 "," 16,938 ",2011
435,All Funds,,53.8 ,40.0 ,0.0 ,6.2 ,100.0 ,2011
436,MOFFAT,MOFFAT COUNTY RE:NO 1,,,,,,2011
437,Amount,,"12,551,427","9,996,576",0,"2,730,212","25,278,215",2011
438,Per Pupil,"2,224.8 "," 5,642 "," 4,493 ", 0 ," 1,227 "," 11,362 ",2011
439,All Funds,,49.7 ,39.5 ,0.0 ,10.8 ,100.0 ,2011
440,MONTEZUMA,MONTEZUMA-CORTEZ RE-1,,,,,,2011
441,Amount,,"13,210,044","11,424,213",500,"550,905","25,185,661",2011
442,Per Pupil,"2,824.0 "," 4,678 "," 4,045 ", 0 , 195 ," 8,918 ",2011
443,All Funds,,52.5 ,45.4 ,0.0 ,2.2 ,100.0 ,2011
444,MONTEZUMA,DOLORES RE-4A,,,,,,2011
445,Amount,,"3,463,090","2,255,107",0,"325,857","6,044,054",2011
446,Per Pupil,665.1 ," 5,207 "," 3,391 ", 0 , 490 ," 9,087 ",2011
447,All Funds,,57.3 ,37.3 ,0.0 ,5.4 ,100.0 ,2011
448,MONTEZUMA,MANCOS RE-6,,,,,,2011
449,Amount,,"1,986,889","1,714,469",0,"212,983","3,914,340",2011
450,Per Pupil,367.3 ," 5,409 "," 4,668 ", 0 , 580 ," 10,657 ",2011
451,All Funds,,50.8 ,43.8 ,0.0 ,5.4 ,100.0 ,2011
452,MONTROSE,MONTROSE COUNTY RE-1J,,,,,,2011
453,Amount,,"26,814,951","17,652,957","568,347","12,744,952","57,781,207",2011
454,Per Pupil,"6,029.0 "," 4,448 "," 2,928 ", 94 ," 2,114 "," 9,584 ",2011
455,All Funds,,46.4 ,30.6 ,1.0 ,22.1 ,100.0 ,2011
456,MONTROSE,WEST END RE-2,,,,,,2011
457,Amount,,"1,652,887","1,892,376",0,"130,095","3,675,358",2011
458,Per Pupil,311.5 ," 5,306 "," 6,075 ", 0 , 418 ," 11,799 ",2011
459,All Funds,,45.0 ,51.5 ,0.0 ,3.5 ,100.0 ,2011
460,MORGAN,BRUSH RE-2(J),,,,,,2011
461,Amount,,"7,227,887","4,728,194",0,"7,105,098","19,061,178",2011
462,Per Pupil,"1,428.3 "," 5,060 "," 3,310 ", 0 ," 4,975 "," 13,345 ",2011
463,All Funds,,37.9 ,24.8 ,0.0 ,37.3 ,100.0 ,2011
464,MORGAN,FORT MORGAN RE-3,,,,,,2011
465,Amount,,"13,787,371","12,221,315","319,995","9,685,653","36,014,333",2011
466,Per Pupil,"2,990.4 "," 4,611 "," 4,087 ", 107 ," 3,239 "," 12,043 ",2011
467,All Funds,,38.3 ,33.9 ,0.9 ,26.9 ,100.0 ,2011
468,MORGAN,WELDON VALLEY RE-20(J),,,,,,2011
469,Amount,,"1,429,339","872,574","23,879","92,926","2,418,718",2011
470,Per Pupil,200.1 ," 7,143 "," 4,361 ", 119 , 464 ," 12,088 ",2011
471,All Funds,,59.1 ,36.1 ,1.0 ,3.8 ,100.0 ,2011
472,MORGAN,WIGGINS RE-50(J),,,,,,2011
473,Amount,,"2,659,825","1,916,797",0,"425,065","5,001,688",2011
474,Per Pupil,497.3 ," 5,349 "," 3,854 ", 0 , 855 ," 10,058 ",2011
475,All Funds,,53.2 ,38.3 ,0.0 ,8.5 ,100.0 ,2011
476,OTERO,EAST OTERO R-1,,,,,,2011
477,Amount,,"7,172,621","5,065,814","176,609","1,320,546","13,735,590",2011
478,Per Pupil,"1,330.5 "," 5,391 "," 3,807 ", 133 , 993 ," 10,324 ",2011
479,All Funds,,52.2 ,36.9 ,1.3 ,9.6 ,100.0 ,2011
480,OTERO,ROCKY FORD R-2,,,,,,2011
481,Amount,,"4,441,660","3,408,219","28,406","6,000","7,884,286",2011
482,Per Pupil,825.9 ," 5,378 "," 4,127 ", 34 , 7 ," 9,546 ",2011
483,All Funds,,56.3 ,43.2 ,0.4 ,0.1 ,100.0 ,2011
484,OTERO,MANZANOLA 3J,,,,,,2011
485,Amount,,"1,088,937","1,284,968","3,064","37,068","2,414,036",2011
486,Per Pupil,174.9 ," 6,226 "," 7,347 ", 18 , 212 ," 13,802 ",2011
487,All Funds,,45.1 ,53.2 ,0.1 ,1.5 ,100.0 ,2011
488,OTERO,FOWLER R-4J,,,,,,2011
489,Amount,,"2,436,223","1,405,598",0,"1,551,660","5,393,481",2011
490,Per Pupil,411.1 ," 5,926 "," 3,419 ", 0 ," 3,774 "," 13,120 ",2011
491,All Funds,,45.2 ,26.1 ,0.0 ,28.8 ,100.0 ,2011
492,OTERO,CHERAW 31,,,,,,2011
493,Amount,,"1,413,383","1,026,490","63,602","105,184","2,608,659",2011
494,Per Pupil,199.0 ," 7,102 "," 5,158 ", 320 , 529 ," 13,109 ",2011
495,All Funds,,54.2 ,39.3 ,2.4 ,4.0 ,100.0 ,2011
496,OTERO,SWINK 33,,,,,,2011
497,Amount,,"2,104,824","1,482,952",0,"657,561","4,245,336",2011
498,Per Pupil,360.6 ," 5,837 "," 4,112 ", 0 ," 1,824 "," 11,773 ",2011
499,All Funds,,49.6 ,34.9 ,0.0 ,15.5 ,100.0 ,2011
500,OURAY,OURAY R-1,,,,,,2011
501,Amount,,"1,748,957","1,083,213",0,"218,071","3,050,241",2011
502,Per Pupil,214.3 ," 8,161 "," 5,055 ", 0 ," 1,018 "," 14,234 ",2011
503,All Funds,,57.3 ,35.5 ,0.0 ,7.1 ,100.0 ,2011
504,OURAY,RIDGWAY R-2,,,,,,2011
505,Amount,,"2,235,403","1,754,259","4,000","6,523,079","10,516,742",2011
506,Per Pupil,333.6 ," 6,701 "," 5,259 ", 12 ," 19,554 "," 31,525 ",2011
507,All Funds,,21.3 ,16.7 ,0.0 ,62.0 ,100.0 ,2011
508,PARK,PLATTE CANYON 1,,,,,,2011
509,Amount,,"5,358,099","4,559,976","153,334","931,594","11,003,003",2011
510,Per Pupil,"1,115.5 "," 4,803 "," 4,088 ", 137 , 835 ," 9,864 ",2011
511,All Funds,,48.7 ,41.4 ,1.4 ,8.5 ,100.0 ,2011
512,PARK,PARK COUNTY RE-2,,,,,,2011
513,Amount,,"4,183,166","2,808,904","5,306","25,055,432","32,052,809",2011
514,Per Pupil,520.3 ," 8,040 "," 5,399 ", 10 ," 48,156 "," 61,604 ",2011
515,All Funds,,13.1 ,8.8 ,0.0 ,78.2 ,100.0 ,2011
516,PHILLIPS,HOLYOKE RE-1J,,,,,,2011
517,Amount,,"3,489,309","1,859,909",0,"1,988,099","7,337,318",2011
518,Per Pupil,592.2 ," 5,892 "," 3,141 ", 0 ," 3,357 "," 12,390 ",2011
519,All Funds,,47.6 ,25.3 ,0.0 ,27.1 ,100.0 ,2011
520,PHILLIPS,HAXTUN RE-2J,,,,,,2011
521,Amount,,"2,033,549","1,081,620",0,"3,200","3,118,370",2011
522,Per Pupil,290.2 ," 7,007 "," 3,727 ", 0 , 11 ," 10,746 ",2011
523,All Funds,,65.2 ,34.7 ,0.0 ,0.1 ,100.0 ,2011
524,PITKIN,ASPEN 1,,,,,,2011
525,Amount,,"17,564,164","7,016,840",0,"31,442,188","56,023,193",2011
526,Per Pupil,"1,645.8 "," 10,672 "," 4,263 ", 0 ," 19,105 "," 34,040 ",2011
527,All Funds,,31.4 ,12.5 ,0.0 ,56.1 ,100.0 ,2011
528,PROWERS,GRANADA RE-1,,,,,,2011
529,Amount,,"1,682,334","1,311,191",0,0,"2,993,525",2011
530,Per Pupil,227.2 ," 7,405 "," 5,771 ", 0 , 0 ," 13,176 ",2011
531,All Funds,,56.2 ,43.8 ,0.0 ,0.0 ,100.0 ,2011
532,PROWERS,LAMAR RE-2,,,,,,2011
533,Amount,,"7,629,648","4,136,047","132,665","3,510,698","15,409,058",2011
534,Per Pupil,"1,576.9 "," 4,838 "," 2,623 ", 84 ," 2,226 "," 9,772 ",2011
535,All Funds,,49.5 ,26.8 ,0.9 ,22.8 ,100.0 ,2011
536,PROWERS,HOLLY RE-3,,,,,,2011
537,Amount,,"1,633,434","1,095,248","18,551","6,045,034","8,792,267",2011
538,Per Pupil,272.7 ," 5,990 "," 4,016 ", 68 ," 22,167 "," 32,242 ",2011
539,All Funds,,18.6 ,12.5 ,0.2 ,68.8 ,100.0 ,2011
540,PROWERS,WILEY RE-13 JT,,,,,,2011
541,Amount,,"1,406,653","911,564",0,"82,893","2,401,110",2011
542,Per Pupil,226.9 ," 6,199 "," 4,017 ", 0 , 365 ," 10,582 ",2011
543,All Funds,,58.6 ,38.0 ,0.0 ,3.5 ,100.0 ,2011
544,PUEBLO,PUEBLO CITY 60,,,,,,2011
545,Amount,,"82,440,918","67,282,294","289,546","9,587,931","159,600,689",2011
546,Per Pupil,"16,973.3 "," 4,857 "," 3,964 ", 17 , 565 ," 9,403 ",2011
547,All Funds,,51.7 ,42.2 ,0.2 ,6.0 ,100.0 ,2011
548,PUEBLO,PUEBLO COUNTY RURAL 70,,,,,,2011
549,Amount,,"37,190,168","36,419,368","10,196","21,240,879","94,860,611",2011
550,Per Pupil,"8,579.9 "," 4,335 "," 4,245 ", 1 ," 2,476 "," 11,056 ",2011
551,All Funds,,39.2 ,38.4 ,0.0 ,22.4 ,100.0 ,2011
552,RIO BLANCO,MEEKER RE1,,,,,,2011
553,Amount,,"3,871,834","2,271,884",0,"2,360,736","8,504,454",2011
554,Per Pupil,647.8 ," 5,977 "," 3,507 ", 0 ," 3,644 "," 13,128 ",2011
555,All Funds,,45.5 ,26.7 ,0.0 ,27.8 ,100.0 ,2011
556,RIO BLANCO,RANGELY RE-4,,,,,,2011
557,Amount,,"2,819,582","2,379,767","10,843","2,574,334","7,784,526",2011
558,Per Pupil,454.1 ," 6,209 "," 5,241 ", 24 ," 5,669 "," 17,143 ",2011
559,All Funds,,36.2 ,30.6 ,0.1 ,33.1 ,100.0 ,2011
560,RIO GRANDE,DEL NORTE C-7,,,,,,2011
561,Amount,,"2,588,572","2,215,081",0,"529,874","5,333,528",2011
562,Per Pupil,569.0 ," 4,549 "," 3,893 ", 0 , 931 ," 9,374 ",2011
563,All Funds,,48.5 ,41.5 ,0.0 ,9.9 ,100.0 ,2011
564,RIO GRANDE,MONTE VISTA C-8,,,,,,2011
565,Amount,,"5,180,736","4,023,449",0,"22,807,957","32,012,142",2011
566,Per Pupil,"1,151.6 "," 4,499 "," 3,494 ", 0 ," 19,805 "," 27,798 ",2011
567,All Funds,,16.2 ,12.6 ,0.0 ,71.2 ,100.0 ,2011
568,RIO GRANDE,SARGENT RE-33J,,,,,,2011
569,Amount,,"2,359,631","1,973,443",0,"373,713","4,706,788",2011
570,Per Pupil,469.3 ," 5,028 "," 4,205 ", 0 , 796 ," 10,029 ",2011
571,All Funds,,50.1 ,41.9 ,0.0 ,7.9 ,100.0 ,2011
572,ROUTT,HAYDEN RE-1,,,,,,2011
573,Amount,,"3,231,868","2,228,233",0,"70,392","5,530,493",2011
574,Per Pupil,392.8 ," 8,228 "," 5,673 ", 0 , 179 ," 14,080 ",2011
575,All Funds,,58.4 ,40.3 ,0.0 ,1.3 ,100.0 ,2011
576,ROUTT,STEAMBOAT SPRINGS RE-2,,,,,,2011
577,Amount,,"13,241,065","8,594,781",0,"7,231,582","29,067,429",2011
578,Per Pupil,"2,234.7 "," 5,925 "," 3,846 ", 0 ," 3,236 "," 13,007 ",2011
579,All Funds,,45.6 ,29.6 ,0.0 ,24.9 ,100.0 ,2011
580,ROUTT,SOUTH ROUTT RE 3,,,,,,2011
581,Amount,,"2,971,748","2,095,397",0,"915,742","5,982,888",2011
582,Per Pupil,378.6 ," 7,849 "," 5,535 ", 0 ," 2,419 "," 15,803 ",2011
583,All Funds,,49.7 ,35.0 ,0.0 ,15.3 ,100.0 ,2011
584,SAGUACHE,MOUNTAIN VALLEY RE 1,,,,,,2011
585,Amount,,"1,055,956","858,845","6,228",0,"1,921,029",2011
586,Per Pupil,116.5 ," 9,064 "," 7,372 ", 53 , 0 ," 16,490 ",2011
587,All Funds,,55.0 ,44.7 ,0.3 ,0.0 ,100.0 ,2011
588,SAGUACHE,MOFFAT 2,,,,,,2011
589,Amount,,"1,632,741","1,305,003",0,"4,475,206","7,412,950",2011
590,Per Pupil,199.6 ," 8,180 "," 6,538 ", 0 ," 22,421 "," 37,139 ",2011
591,All Funds,,22.0 ,17.6 ,0.0 ,60.4 ,100.0 ,2011
592,SAGUACHE,CENTER 26 JT,,,,,,2011
593,Amount,,"3,882,536","3,307,372","125,738","20,526,553","27,842,199",2011
594,Per Pupil,580.1 ," 6,693 "," 5,701 ", 217 ," 35,385 "," 47,996 ",2011
595,All Funds,,13.9 ,11.9 ,0.5 ,73.7 ,100.0 ,2011
596,SAN JUAN,SILVERTON 1,,,,,,2011
597,Amount,,"730,805","409,292",0,"6,181,429","7,321,526",2011
598,Per Pupil,67.3 ," 10,859 "," 6,082 ", 0 ," 91,849 "," 108,789 ",2011
599,All Funds,,10.0 ,5.6 ,0.0 ,84.4 ,100.0 ,2011
600,SAN MIGUEL,TELLURIDE R-1,,,,,,2011
601,Amount,,"5,129,801","3,190,128","247,932","2,253,292","10,821,153",2011
602,Per Pupil,721.6 ," 7,109 "," 4,421 ", 344 ," 3,123 "," 14,996 ",2011
603,All Funds,,47.4 ,29.5 ,2.3 ,20.8 ,100.0 ,2011
604,SAN MIGUEL,NORWOOD R-2J,,,,,,2011
605,Amount,,"2,002,888","1,419,245",0,"295,312","3,717,445",2011
606,Per Pupil,260.5 ," 7,689 "," 5,448 ", 0 ," 1,134 "," 14,270 ",2011
607,All Funds,,53.9 ,38.2 ,0.0 ,7.9 ,100.0 ,2011
608,SEDGWICK,JULESBURG RE-1,,,,,,2011
609,Amount,,"4,075,313","1,630,503",0,"111,428","5,817,244",2011
610,Per Pupil,867.0 ," 4,700 "," 1,881 ", 0 , 129 ," 6,710 ",2011
611,All Funds,,70.1 ,28.0 ,0.0 ,1.9 ,100.0 ,2011
612,SEDGWICK,PLATTE VALLEY RE-3,,,,,,2011
613,Amount,,"1,202,273","794,366",0,0,"1,996,639",2011
614,Per Pupil,124.4 ," 9,665 "," 6,386 ", 0 , 0 ," 16,050 ",2011
615,All Funds,,60.2 ,39.8 ,0.0 ,0.0 ,100.0 ,2011
616,SUMMIT,SUMMIT RE-1,,,,,,2011
617,Amount,,"19,002,258","14,664,891",0,"45,548,651","79,215,800",2011
618,Per Pupil,"2,942.3 "," 6,458 "," 4,984 ", 0 ," 15,481 "," 26,923 ",2011
619,All Funds,,24.0 ,18.5 ,0.0 ,57.5 ,100.0 ,2011
620,TELLER,CRIPPLE CREEK-VICTOR RE-1,,,,,,2011
621,Amount,,"3,788,195","1,724,578",0,"1,292,359","6,805,131",2011
622,Per Pupil,411.0 ," 9,217 "," 4,196 ", 0 ," 3,144 "," 16,557 ",2011
623,All Funds,,55.7 ,25.3 ,0.0 ,19.0 ,100.0 ,2011
624,TELLER,WOODLAND PARK RE-2,,,,,,2011
625,Amount,,"13,553,777","8,298,072",0,"2,039,067","23,890,916",2011
626,Per Pupil,"2,667.4 "," 5,081 "," 3,111 ", 0 , 764 ," 8,957 ",2011
627,All Funds,,56.7 ,34.7 ,0.0 ,8.5 ,100.0 ,2011
628,WASHINGTON,AKRON R-1,,,,,,2011
629,Amount,,"2,187,495","1,476,667",0,"17,504,052","21,168,214",2011
630,Per Pupil,369.8 ," 5,915 "," 3,993 ", 0 ," 47,334 "," 57,242 ",2011
631,All Funds,,10.3 ,7.0 ,0.0 ,82.7 ,100.0 ,2011
632,WASHINGTON,ARICKAREE R-2,,,,,,2011
633,Amount,,"861,951","871,826",0,0,"1,733,777",2011
634,Per Pupil,101.0 ," 8,534 "," 8,632 ", 0 , 0 ," 17,166 ",2011
635,All Funds,,49.7 ,50.3 ,0.0 ,0.0 ,100.0 ,2011
