school,district_id,district_name,emh,school_id,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate
HOTCHKISS ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),E,4124,9,9,11,8,9,8,7,9,7,
IMAGINE CHARTER,470,ST VRAIN VALLEY RE 1J,E,4333,9,8,9,7,7,9,9,10,6,
CENTRAL HIGH SCHOOL,2690,PUEBLO CITY 60,H,1454,3,4,3,5,3,3,3,3,2,68.099999999999994
PATRIOT LEARNING CENTER,1110,FALCON 49,A,6810,3,,,,,,,,,
COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,120,ENGLEWOOD 1,H,206,3,5,4,5,5,5,3,6,5,10.6
NEW AMERICA SCHOOL,1420,JEFFERSON COUNTY R-1,H,6237,2,1,1,1,1,6,6,6,6,5.7
SOBESKY ACADEMY,1420,JEFFERSON COUNTY R-1,A,8036,2,,,,,,,,,
ARAPAHOE RIDGE HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,125,2,1,2,1,1,5,6,2,9,32.200000000000003
NEW AMERICA SCHOOL,180,ADAMS-ARAPAHOE 28J,H,6219,3,1,1,1,1,4,6,5,3,8.8000000000000007
COLORADO SCHOOL FOR THE DEAF AND BLIND,9000,Colorado School for the De,A,9999,3,,,,,,,,,
KARVAL ONLINE EDUCATION,1810,KARVAL RE-23,H,4504,3,6,5,5,5,1,3,1,2,38.4
CONTEMPORARY LEARNING ACADEMY HIGH SCHOOL,880,DENVER COUNTY 1,H,5844,2,1,1,1,1,5,3,6,3,0.2
BRADLEY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,964,9,6,6,6,6,10,9,6,12,
BRIGHTON HERITAGE ACADEMY,40,BRIGHTON 27J,A,1021,3,,,,,,,,,
PALMER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,6676,9,6,6,6,6,10,9,9,9,
THE CONNECT CHARTER SCHOOL,2700,PUEBLO COUNTY 70,M,8810,9,13,11,13,12,6,6,6,9,
WESTMINSTER HIGH SCHOOL,70,WESTMINSTER 50,H,9466,3,3,4,3,4,3,3,3,3,54.8
NEW HORIZONS DAY SCHOOL,980,HARRISON 2,A,6244,2,,,,,,,,,
ADAMS CITY HIGH SCHOOL,30,ADAMS COUNTY 14,H,24,2,3,5,3,3,2,4,3,1,64.7
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,8001,CHARTER SCHOOL INSTITUTE,E,657,9,7,10,7,12,9,9,7,9,
LORRAINE SECONDARY SCHOOL,1000,FOUNTAIN 8,A,203,2,,,,,,,,,
HORIZONS K-8 SCHOOL,480,BOULDER VALLEY RE 2,M,6642,9,13,9,12,13,7,9,5,8,
MC LAIN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,33,2,5,5,5,3,4,6,5,2,25.2
CLYDE MILLER K-8,180,ADAMS-ARAPAHOE 28J,E,1720,9,3,6,5,4,11,7,12,11,
EAGLEVIEW ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,2361,9,7,9,7,7,9,9,9,6,
ROCKY HEIGHTS MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,7448,9,10,9,11,10,6,6,6,6,
INSIGHT SCHOOL OF COLORADO AT JULESBURG,2862,JULESBURG RE-1,H,4369,1,5,2,4,4,1,2,1,1,12.6
FLORENCE CRITTENTON HIGH SCHOOL,880,DENVER COUNTY 1,H,3000,1,2,1,1,1,3,6,1,5,0.6
MANCOS MIDDLE SCHOOL,2070,MANCOS RE-6,M,5450,9,6,6,7,11,8,9,5,9,
MEADOW VIEW ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,5745,9,9,9,10,7,9,6,10,9,
MERINO ELEMENTARY SCHOOL,1860,BUFFALO RE-4J,E,5802,9,8,9,9,6,9,11,9,6,
HIGH POINT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,655,9,6,3,6,5,10,10,9,11,
ACE COMMUNITY CHALLENGE CHARTER SCHOOL,880,DENVER COUNTY 1,A,1866,2,,,,,,,,,
LESTER R ARNOLD HIGH SCHOOL,30,ADAMS COUNTY 14,H,22,1,1,1,1,1,1,3,1,3,32.5
OLDE COLUMBINE HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,6498,1,3,3,3,3,1,3,2,1,27.5
MOFFAT MIDDLE SCHOOL,2800,MOFFAT 2,M,5956,9,7,4,8,5,12,12,6,13,
RIVERVIEW ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,7402,9,11,9,10,12,8,11,6,8,
RUNNING CREEK ELEMENTARY SCHOOL,920,ELIZABETH C-1,E,7517,9,9,10,9,9,7,6,9,7,
YOUTH & FAMILY ACADEMY CHARTER,2690,PUEBLO CITY 60,A,9785,1,,,,,,,,,
CHALLENGE TO EXCELLENCE CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,M,1512,9,9,7,10,9,9,7,9,9,
EXCEL ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,M,2799,9,9,6,8,9,9,11,6,9,
PAGOSA SPRINGS MIDDLE SCHOOL,220,ARCHULETA COUNTY 50 JT,M,6657,9,6,6,6,7,9,9,12,7,
DELTA COUNTY OPPORTUNITY SCHOOL,870,DELTA COUNTY 50(J),A,2155,1,,,,,,,,,
CENTENNIAL HIGH SCHOOL,1550,POUDRE R-1,H,3760,1,1,2,2,2,1,1,1,1,39.9
POUDRE COMMUNITY ACADEMY,1550,POUDRE R-1,H,7127,1,3,1,3,2,1,1,2,3,17.5
HIDDEN LAKE HIGH SCHOOL,70,WESTMINSTER 50,H,3931,1,1,1,1,1,2,1,3,3,22.8
THE NEW AMERICA SCHOOL,10,MAPLETON 1,H,4699,1,1,1,1,1,1,1,5,1,
LIFE SKILLS CENTER OF DENVER,880,DENVER COUNTY 1,H,5129,1,1,1,1,2,1,2,1,1,3.2
WESTRIDGE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,9490,9,10,9,9,9,9,7,7,9,
SKOGLUND MIDDLE SCHOOL,2810,CENTER 26 JT,M,1416,9,3,1,5,6,12,12,12,9,
JEFFERSON HIGH SCHOOL,3120,GREELEY 6,H,4425,1,1,1,2,1,1,1,3,1,
V.I.L.A.S. ONLINE SCHOOL,260,VILAS RE-5,H,9085,1,2,1,2,2,1,1,1,2,30.7
THE CLASSICAL ACADEMY CHARTER,1040,ACADEMY 20,E,1627,9,11,12,10,9,7,6,6,7,
HOLYOKE ELEMENTARY SCHOOL,2620,HOLYOKE RE-1J,E,4076,9,7,6,7,9,9,9,7,9,
LONE TREE ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,5843,9,9,9,8,7,9,7,9,8,
SKYVIEW ACADEMY,900,DOUGLAS COUNTY RE 1,E,6365,9,10,11,9,9,6,8,6,6,
UTE PASS ELEMENTARY SCHOOL,1030,MANITOU SPRINGS 14,E,9010,9,8,9,7,9,9,7,6,12,
WILMOT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,9648,9,12,10,11,10,6,7,6,6,
HULSTROM OPTIONS K-8 SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,4172,9,13,12,13,12,6,7,6,5,
WYATT-EDISON CHARTER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,M,9739,9,5,3,5,3,12,12,12,9,
BRADY EXPLORATION SCHOOL,1420,JEFFERSON COUNTY R-1,H,965,1,2,1,1,1,1,1,3,1,13.6
GOAL ACADEMY,8001,CHARTER SCHOOL INSTITUTE,A,3475,1,,,,,,,,,
SOUTHWEST OPEN CHARTER SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,H,8133,1,3,3,2,3,1,1,1,1,10.5
VANTAGE POINT,20,ADAMS 12 FIVE STAR SCHOOLS,A,210,1,,,,,,,,,
RED CANYON HIGH SCHOOL,910,EAGLE COUNTY RE 50,H,205,1,3,3,3,3,1,1,1,1,44.9
JUSTICE HIGH CHARTER SCHOOL,480,BOULDER VALLEY RE 2,A,4496,1,,,,,,,,,
VISTA CHARTER SCHOOL,2180,MONTROSE COUNTY RE-1J,H,9149,1,1,1,1,1,1,1,1,1,36
KELLER ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,4530,9,6,7,6,6,9,10,7,8,
LINCOLN ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),E,5154,9,6,9,7,6,7,7,9,6,
WELDON VALLEY JUNIOR HIGH SCHOOL,2505,WELDON VALLEY RE-20(J),M,9356,9,6,6,8,6,10,12,6,12,
NORTH ROUTT CHARTER SCHOOL,2770,STEAMBOAT SPRINGS RE-2,E,6363,9,9,8,6,6,7,6,6,9,
VALLEY VIEW K-8,10,MAPLETON 1,E,9036,9,6,7,7,6,9,9,9,7,
BOOKCLIFF MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,900,9,6,5,6,6,10,9,9,12,
SKYWAY PARK ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,1604,9,10,8,10,11,8,6,7,9,
KENDRICK LAKES ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,4550,9,9,9,9,7,9,9,9,10,
KNOWLEDGE QUEST ACADEMY,3110,JOHNSTOWN-MILLIKEN RE-5J,M,4785,9,8,6,7,7,10,8,10,9,
PEAR PARK ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,363,9,9,10,8,7,7,7,7,8,
GIRLS ATHLETIC LEADERSHIP SCHOOL,880,DENVER COUNTY 1,M,3639,9,6,5,6,,12,12,6,12,
BACON ELEMENTARY SCHOOL,1550,POUDRE R-1,E,490,9,10,9,9,8,9,9,9,7,
CAMPUS MIDDLE SCHOOL,130,CHERRY CREEK 5,M,1566,9,10,9,12,10,7,7,6,8,
KIT CARSON ELEMENTARY SCHOOL,510,KIT CARSON R-1,E,4738,9,9,12,10,12,6,2,9,6,
HALLETT FUNDAMENTAL ACADEMY,880,DENVER COUNTY 1,E,4782,9,6,6,5,3,10,10,9,9,
MOUNTAIN VIEW ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,6150,9,6,9,9,6,7,6,9,7,
SUMMIT ELEMENTARY SCHOOL,3020,WOODLAND PARK RE-2,E,8379,9,6,7,6,7,9,7,9,9,
SUMMIT COVE ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,8385,9,9,11,10,12,6,9,6,6,
WEST JEFFERSON MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,9428,9,9,8,9,10,7,9,7,6,
GOODNIGHT ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,1504,9,7,9,7,6,8,7,9,6,
PRAIRIE JUNIOR-SENIOR HIGH SCHOOL,3147,PRAIRIE RE-11,M,7156,9,6,7,8,6,8,5,9,9,
PIKES PEAK PREP,8001,CHARTER SCHOOL INSTITUTE,E,8929,9,7,7,7,6,9,12,5,12,
VANGUARD CLASSICAL SCHOOL,180,ADAMS-ARAPAHOE 28J,M,9056,9,5,1,6,3,12,12,9,12,
FREEDOM ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,3175,9,7,9,8,8,9,9,10,7,
EAGLE COUNTY CHARTER ACADEMY,910,EAGLE COUNTY RE 50,E,2340,9,11,12,12,12,6,6,6,6,
OURAY ELEMENTARY SCHOOL,2580,OURAY R-1,E,6596,9,9,9,9,9,9,8,11,8,
GRANDVIEW ELEMENTARY SCHOOL,3100,WINDSOR RE-4,E,55,9,9,9,10,12,8,9,6,10,
ALTA VISTA CHARTER SCHOOL,2660,LAMAR RE-2,E,200,9,12,10,11,9,6,6,6,7,
EAST GRAND MIDDLE SCHOOL,1350,EAST GRAND 2,M,2376,9,7,6,9,7,9,9,10,6,
OAK GROVE ELEMENTARY SCHOOL,2180,MONTROSE COUNTY RE-1J,E,6466,9,6,8,6,6,9,12,8,7,
WASHINGTON ELEMENTARY SCHOOL,1140,CANON CITY RE-1,E,9248,9,6,6,6,6,9,9,6,9,
WESTLAKE MIDDLE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,9444,9,7,7,7,9,9,8,9,6,
CARBON VALLEY ACADEMY,470,ST VRAIN VALLEY RE 1J,E,1284,9,9,9,9,7,6,9,3,6,
COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,1730,9,9,9,9,8,9,11,9,6,
CRESTED BUTTE COMMUNITY SCHOOL,1360,GUNNISON WATERSHED RE1J,E,2006,9,10,10,10,10,6,5,6,8,
DUTCH CREEK ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,2322,9,7,7,7,6,9,9,9,9,
MONUMENT CHARTER ACADEMY,1080,LEWIS-PALMER 38,E,5093,9,11,12,11,12,6,6,6,9,
WEST MIDDLE SCHOOL,130,CHERRY CREEK 5,M,1568,9,10,9,10,10,7,7,6,6,
CREST VIEW ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,1996,9,7,9,6,9,9,8,12,8,
LOUISVILLE MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,5306,9,11,9,11,10,6,6,6,6,
STONY CREEK ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,8280,9,9,7,9,9,8,7,8,7,
CEDAREDGE MIDDLE SCHOOL,870,DELTA COUNTY 50(J),M,1375,9,8,6,9,9,8,7,7,8,
DALTON ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,2095,9,6,6,7,6,8,6,7,9,
GLENWOOD SPRINGS ELEMENTARY SCHOOL,1180,ROARING FORK RE-1,E,3460,9,6,6,6,6,9,6,10,9,
MONTCLAIR ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,6002,9,6,6,6,6,10,12,6,10,
SHAFFER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,7780,9,10,11,10,9,7,8,7,6,
TRAILBLAZER ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,8897,9,10,11,10,9,6,6,6,6,
AKRON ELEMENTARY SCHOOL,3030,AKRON R-1,E,86,9,9,6,7,12,8,7,7,9,
DISCOVERY CANYON CAMPUS SCHOOL,1040,ACADEMY 20,E,2195,9,10,12,9,9,7,6,9,6,
COLLEGIATE ACADEMY OF COLORADO,1420,JEFFERSON COUNTY R-1,M,7701,9,6,6,6,6,7,6,12,6,
IRON HORSE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,4292,9,8,9,8,8,6,5,6,9,
JULESBURG ELEMENTARY SCHOOL,2862,JULESBURG RE-1,E,4488,9,9,9,7,9,6,6,7,6,
SHEPARDSON ELEMENTARY SCHOOL,1550,POUDRE R-1,E,7834,9,7,9,8,9,8,10,6,7,
LINCOLN ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,5162,9,5,6,3,3,11,11,12,8,
PIONEER ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,6961,9,9,9,8,7,9,9,9,9,
RANGE VIEW ELEMENTARY,3100,WINDSOR RE-4,E,8459,9,9,9,9,9,6,6,6,6,
BRYANT WEBSTER K-8 SCHOOL,880,DENVER COUNTY 1,M,1106,9,5,4,6,6,9,9,8,9,
THE IMAGINE CLASSICAL ACADEMY AT INDIGO RANCH,1110,FALCON 49,E,4251,9,9,9,8,7,6,9,6,6,
GLENNON HEIGHTS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,3450,9,7,7,7,6,9,7,9,7,
SUNRISE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,8394,9,6,7,6,6,9,7,9,9,
WEST DENVER PREP - HIGHLAND CAMPUS,880,DENVER COUNTY 1,M,9336,9,3,6,6,,13,9,13,12,
PIKES PEAK PREP,8001,CHARTER SCHOOL INSTITUTE,M,8929,9,6,5,6,7,11,7,10,12,
REDLANDS MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,7281,9,9,6,9,9,8,6,9,7,
KOHL ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,4792,9,9,9,9,7,8,7,7,7,
MERIDIAN RANCH INTERNATIONAL SCHOOL,1110,FALCON 49,E,5779,9,7,9,7,9,9,10,8,7,
PARKVIEW ELEMENTARY SCHOOL,2720,RANGELY RE-4,E,7268,9,6,6,6,7,7,7,9,6,
DISCOVERY CANYON CAMPUS SCHOOL,1040,ACADEMY 20,M,2195,9,9,7,10,10,7,7,6,7,
ANTELOPE TRAILS ELEMENTARY SCHOOL,1040,ACADEMY 20,E,249,9,10,10,10,10,7,7,6,8,
BIG THOMPSON ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,870,9,6,8,6,9,6,9,3,9,
BUENA VISTA ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,1126,9,9,6,7,9,6,9,1,10,
COLUMBINE ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,1842,9,5,5,6,5,9,13,6,9,
COLUMBINE ELEMENTARY SCHOOL,2405,FORT MORGAN RE-3,E,1850,9,6,6,4,,9,9,10,8,
COLOROW ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,1790,9,7,7,7,7,6,8,6,6,
ELDORADO ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,2656,9,9,10,9,6,7,7,6,8,
FALCON CREEK MIDDLE SCHOOL,130,CHERRY CREEK 5,M,2897,9,9,6,10,9,8,9,5,12,
LANDMARK ACADEMY AT REUNION,40,BRIGHTON 27J,E,4950,9,7,9,7,6,6,5,9,6,
NEW VISION CHARTER SCHOOL,1560,THOMPSON R2-J,E,6220,9,9,7,7,6,6,8,6,6,
HIGHLAND ELEMENTARY SCHOOL,140,LITTLETON 6,E,3950,8,7,10,8,9,8,6,9,6,
ASPEN MIDDLE SCHOOL,2640,ASPEN 1,E,430,8,12,10,10,10,6,9,6,6,
SUNNYSIDE ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,8388,8,12,12,9,12,6,6,6,6,
TELLURIDE ELEMENTARY SCHOOL,2830,TELLURIDE R-1,E,8786,8,9,9,9,12,7,8,6,7,
EDITH WOLFORD ELEMENTARY SCHOOL,1040,ACADEMY 20,E,2524,8,9,9,8,11,9,9,6,9,
LEWIS-PALMER MIDDLE SCHOOL,1080,LEWIS-PALMER 38,M,5098,8,9,8,11,9,6,7,6,7,
OTERO ELEMENTARY SCHOOL,980,HARRISON 2,E,6578,8,6,7,7,7,7,9,6,7,
ASPEN CROSSING ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,442,8,7,10,7,6,6,6,6,6,
BEATTIE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,678,8,7,9,7,7,7,7,9,6,
CHEROKEE TRAIL ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,2233,8,9,9,9,7,9,7,7,9,
EATON MIDDLE SCHOOL,3085,EATON RE-2,M,2452,8,9,6,9,8,9,9,9,7,
LEAWOOD ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,5036,8,9,8,8,7,6,6,6,6,
MANDALAY MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,5454,8,7,6,8,8,6,6,8,5,
NEDERLAND ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,6208,8,10,9,9,9,7,6,6,9,
PAGOSA SPRINGS ELEMENTARY SCHOOL,220,ARCHULETA COUNTY 50 JT,E,6652,8,6,8,6,,6,6,7,6,
SINGING HILLS ELEMENTARY SCHOOL,920,ELIZABETH C-1,E,7925,8,9,9,7,9,6,5,7,6,
SOARING EAGLES ELEMENTARY SCHOOL,980,HARRISON 2,E,8034,8,7,11,7,7,6,6,7,6,
SALIDA MIDDLE SCHOOL,500,SALIDA R-32,E,4680,8,9,8,9,9,9,9,6,12,
ROCKY MOUNTAIN CLASSICAL ACADEMY,1110,FALCON 49,M,7463,8,7,6,9,9,6,6,5,9,
CLIFTON ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,1686,8,6,6,5,6,11,9,13,8,
COAL CREEK ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,1725,8,11,11,11,9,6,4,6,9,
PARK HILL SCHOOL,880,DENVER COUNTY 1,E,6754,8,6,6,6,6,9,7,9,9,
SOUTH ELEMENTARY SCHOOL,40,BRIGHTON 27J,E,8060,8,6,9,6,5,8,6,6,10,
FLAGLER MIDDLE SCHOOL,1450,ARRIBA-FLAGLER C-20,M,2958,8,6,5,6,9,10,11,6,12,
EAST MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,2392,8,7,6,7,8,7,6,10,6,
SHERIDAN GREEN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,4478,8,6,7,6,7,8,9,6,6,
WILEY JUNIOR-SENIOR HIGH SCHOOL,2680,WILEY RE-13 JT,M,9608,8,6,5,6,6,9,9,7,9,
ARROWWOOD ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,354,8,8,9,7,6,7,7,6,6,
HOLLY JUNIOR HIGH SCHOOL,2670,HOLLY RE-3,M,4069,8,6,6,6,6,9,8,9,10,
LUKAS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,5350,8,9,9,8,9,7,9,6,6,
PALMER LAKE ELEMENTARY SCHOOL,1080,LEWIS-PALMER 38,E,6682,8,8,9,9,9,7,9,6,6,
TOLLGATE ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,8858,8,5,6,4,6,10,9,11,9,
EDISON ELEMENTARY SCHOOL,1120,EDISON 54 JT,E,2514,8,9,12,9,9,6,5,8,6,
LIMON ELEMENTARY SCHOOL,1790,LIMON RE-4J,E,5132,8,7,9,7,8,6,6,8,6,
WILEY ELEMENTARY SCHOOL,2680,WILEY RE-13 JT,E,9604,8,6,6,6,7,8,9,9,5,
FORT LEWIS MESA ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,3050,8,7,9,5,6,9,9,8,8,
GARFIELD ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,3320,8,8,8,9,6,7,8,7,6,
MOUNT CARBON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,6135,8,10,9,9,7,9,9,8,7,
FITZSIMMONS MIDDLE SCHOOL,2600,PLATTE CANYON 1,M,7048,8,10,7,9,9,6,6,6,6,
RIDGWAY MIDDLE SCHOOL,2590,RIDGWAY R-2,M,7344,8,9,7,9,10,9,9,8,7,
OLANDER ELEMENTARY SCHOOL,1550,POUDRE R-1,E,6482,8,8,9,7,6,7,9,6,8,
PRIMERO ELEMENTARY SCHOOL,1590,PRIMERO REORGANIZED 2,E,7160,8,6,6,7,6,9,10,9,5,
WEBBER MIDDLE SCHOOL,1550,POUDRE R-1,M,9330,8,9,7,9,9,7,6,8,6,
PEETZ ELEMENTARY SCHOOL,1870,PLATEAU RE-5,E,6834,8,9,9,9,12,6,7,7,6,
EAGLE CREST ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,2343,8,9,8,7,6,6,6,5,9,
MANZANOLA ELEMENTARY SCHOOL,2535,MANZANOLA 3J,E,5498,8,6,6,6,,8,5,7,10,
RENAISSANCE EXPEDITION LEARN OUTWARD BOUND SCHOOL,900,DOUGLAS COUNTY RE 1,E,7319,8,9,11,9,9,6,6,6,7,
SILVERTON ELEMENTARY SCHOOL,2820,SILVERTON 1,E,7900,8,6,6,6,8,6,5,6,9,
DEANE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,8090,8,6,6,6,5,9,6,12,6,
CROWN POINTE CHARTER ACADEMY,70,WESTMINSTER 50,E,2035,8,9,10,7,7,6,5,8,6,
COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,1160,COTOPAXI RE-3,M,3228,8,9,6,9,7,8,8,5,12,
MANCOS ELEMENTARY SCHOOL,2070,MANCOS RE-6,E,5446,8,6,6,6,8,9,9,10,6,
CARRIE MARTIN ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,1323,8,8,9,7,7,6,7,6,6,
RED HAWK RIDGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,7277,8,6,7,6,6,7,6,9,7,
VENETUCCI ELEMENTARY SCHOOL,990,WIDEFIELD 3,E,8122,8,6,7,6,6,9,5,10,9,
EAST ELEMENTARY SCHOOL,140,LITTLETON 6,E,2382,8,5,7,6,6,7,7,6,9,
JEFFERSON ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,E,4402,8,10,9,9,9,6,7,6,6,
LITTLETON PREP CHARTER SCHOOL,140,LITTLETON 6,E,5233,8,9,8,9,9,6,6,7,6,
CHEYENNE MOUNTAIN JUNIOR HIGH SCHOOL,1020,CHEYENNE MOUNTAIN 12,M,1588,8,9,7,11,9,6,5,6,6,
BAYFIELD MIDDLE SCHOOL,1530,BAYFIELD 10 JT-R,M,636,8,7,6,7,9,8,8,6,9,
EAGLETON ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,2364,8,2,3,4,2,11,10,7,13,
GUNNISON ELEMENTARY SCHOOL,1360,GUNNISON WATERSHED RE1J,E,3690,8,6,6,6,6,6,5,6,7,
ODYSSEY ELEMENTARY SCHOOL,1110,FALCON 49,E,6483,8,6,7,7,8,7,9,6,6,
BELLE CREEK CHARTER SCHOOL,40,BRIGHTON 27J,M,700,8,6,6,7,8,9,9,9,6,
CARBONDALE MIDDLE SCHOOL,1180,ROARING FORK RE-1,M,1296,8,5,1,5,5,10,12,9,9,
WOODROW WILSON CHARTER ACADEMY,1420,JEFFERSON COUNTY R-1,M,9427,8,7,7,6,6,6,6,9,6,
WHITTIER K-8 SCHOOL,880,DENVER COUNTY 1,M,9548,8,3,3,3,1,12,9,12,9,
BUFFALO TRAIL ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,1155,8,7,9,6,7,7,7,7,7,
FRONTIER VALLEY ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,3241,8,9,9,8,9,6,6,7,6,
LEGACY POINT ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,5045,8,7,8,7,6,6,6,6,7,
SUNSET MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,M,5286,8,6,6,8,9,9,8,7,10,
PEABODY ELEMENTARY SCHOOL,140,LITTLETON 6,E,6814,8,8,9,8,9,8,7,7,8,
DELTA MIDDLE SCHOOL,870,DELTA COUNTY 50(J),M,2160,7,6,6,6,5,8,6,7,9,
HILL CAMPUS OF ARTS AND SCIENCES,880,DENVER COUNTY 1,M,3990,7,6,6,6,6,9,8,9,9,
FLATIRONS ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,2970,7,12,12,10,12,6,5,6,7,
FRONTIER ELEMENTARY SCHOOL,1040,ACADEMY 20,E,3238,7,8,9,6,12,6,6,5,9,
JOHN WESLEY POWELL MIDDLE SCHOOL,140,LITTLETON 6,M,4447,7,9,8,11,11,6,6,6,7,
MONARCH K-8 SCHOOL,480,BOULDER VALLEY RE 2,M,6000,7,10,7,10,10,6,6,6,6,
CACHE LA POUDRE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,1186,7,8,7,8,7,9,11,6,6,
CENTENNIAL ELEMENTARY SCHOOL,980,HARRISON 2,E,1383,7,5,6,3,3,9,9,9,9,
COTTON CREEK ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,1914,7,6,9,6,7,7,6,7,6,
COTTONWOOD PLAINS ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,1920,7,9,9,8,9,7,7,9,3,
HUNTERS GLEN ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,2580,7,8,10,9,9,7,7,9,6,
