school,district_id,district_name,emh,emh_combined,school_id,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate
DISCOVERY CANYON CAMPUS SCHOOL,1040,ACADEMY 20,M,False,2195,9,11,7,12,10,7,7,6,7,
ARAPAHOE RIDGE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,301,9,8,9,6,9,7,5,7,9,
CHEROKEE TRAIL ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,2233,9,9,9,9,6,9,7,7,12,
WESTMINSTER HIGH SCHOOL,70,WESTMINSTER 50,H,False,9466,3,5,5,5,5,4,5,3,6,62.0
GARDEN PARK HIGH SCHOOL,1140,CANON CITY RE-1,H,False,3211,3,6,5,6,4,5,7,2,6,23.8
NEW HORIZONS DAY SCHOOL,980,HARRISON 2,H,False,6244,3,2,3,3,3,6,6,6,7,36.5
WEST MIDDLE SCHOOL,130,CHERRY CREEK 5,M,False,1568,9,10,9,12,10,6,7,6,6,
SOBESKY ACADEMY,1420,JEFFERSON COUNTY R-1,H,False,8036,2,1,1,1,,1,1,6,1,
KINARD CORE KNOWLEDGE MIDDLE SCHOOL,1550,POUDRE R-1,M,False,4698,9,12,9,12,11,6,6,7,6,
AURORA CENTRAL HIGH SCHOOL,180,ADAMS-ARAPAHOE 28J,H,False,1458,2,2,4,2,2,6,6,7,6,51.4
CONTEMPORARY LEARNING ACADEMY HIGH SCHOOL,880,DENVER COUNTY 1,H,False,5844,2,1,1,1,1,3,7,1,6,0.8
FLORENCE CRITTENTON HIGH SCHOOL,880,DENVER COUNTY 1,H,False,3000,2,2,1,2,1,5,6,2,9,0.5
NEW AMERICA SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,6237,2,1,1,1,1,5,4,5,6,22.0
NORTH PARK JUNIOR-SENIOR HIGH SCHOOL,1410,NORTH PARK R-1,M,False,6358,9,7,6,9,12,8,3,10,9,
AURORA FRONTIER K-8,180,ADAMS-ARAPAHOE 28J,E,True,465,9,6,7,6,6,7,9,6,8,
AURORA FRONTIER K-8,180,ADAMS-ARAPAHOE 28J,M,True,465,9,6,6,7,9,12,10,12,9,
BAYFIELD ELEMENTARY SCHOOL,1530,BAYFIELD 10 JT-R,E,False,632,9,8,9,6,8,8,10,7,6,
COLOROW ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,1790,9,8,9,7,9,8,9,9,6,
CARBONDALE COMMUNITY CHARTER SCHOOL,1180,ROARING FORK RE-1,E,True,429,9,12,9,10,10,5,6,5,6,
CARBONDALE COMMUNITY CHARTER SCHOOL,1180,ROARING FORK RE-1,M,True,429,9,9,7,10,9,9,6,11,10,
MC LAIN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,33,3,5,5,6,4,5,6,3,6,43.9
INSIGHT SCHOOL OF COLORADO AT JULESBURG,2862,JULESBURG RE-1,H,False,4369,2,5,4,4,4,1,5,1,3,21.4
VANTAGE POINT,20,ADAMS 12 FIVE STAR SCHOOLS,H,False,210,2,3,2,2,2,3,5,5,2,40.6
BRIGHTON HERITAGE ACADEMY,40,BRIGHTON 27J,H,False,1021,2,3,3,2,3,4,3,5,5,13.5
THE BIJOU SCHOOL,1010,COLORADO SPRINGS 11,H,False,871,1,4,3,4,3,5,5,5,5,34.5
WILLIAM (BILL) ROBERTS K-8 SCHOOL,880,DENVER COUNTY 1,E,True,9623,9,7,9,8,7,9,8,8,8,
WILLIAM (BILL) ROBERTS K-8 SCHOOL,880,DENVER COUNTY 1,M,True,9623,9,7,6,8,10,13,13,13,9,
SUMMIT RIDGE MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,False,8381,9,9,7,9,11,8,6,10,6,
KAPLAN ACADEMY OF COLORADO,1195,GARFIELD RE-2,H,False,3325,1,5,4,4,4,1,1,3,1,9.5
ADAMS CITY HIGH SCHOOL,30,ADAMS COUNTY 14,H,False,24,1,3,5,3,2,1,3,3,1,69.8
LESTER R ARNOLD HIGH SCHOOL,30,ADAMS COUNTY 14,H,False,22,2,3,1,2,1,3,6,1,6,34.1
DARTMOUTH ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,False,2114,9,3,6,5,5,10,9,10,10,
PINON VALLEY ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,False,6953,9,10,9,11,8,7,9,6,9,
PIKES PEAK SCHOOL EXPEDITIONARY LEARNING,1110,FALCON 49,M,False,6935,9,6,6,6,6,9,6,9,9,
FREE HORIZON MONTESSORI CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,3201,9,9,6,6,9,9,8,6,9,
JULESBURG ELEMENTARY SCHOOL,2862,JULESBURG RE-1,E,False,4488,9,9,9,6,9,6,6,9,5,
SUMMIT COVE ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,False,8385,9,10,12,12,12,7,6,6,7,
P.S.1 CHARTER SCHOOL,880,DENVER COUNTY 1,H,True,7199,1,2,2,2,2,4,3,3,6,32.0
RED CANYON HIGH SCHOOL,910,EAGLE COUNTY RE 50,H,False,205,2,6,3,4,5,3,6,3,2,62.3
NEW AMERICA SCHOOL,180,ADAMS-ARAPAHOE 28J,H,False,6219,1,1,1,1,1,5,8,3,3,13.3
LORRAINE SECONDARY SCHOOL,1000,FOUNTAIN 8,H,False,203,1,4,5,3,5,3,6,5,1,38.0
HOPE ON-LINE,900,DOUGLAS COUNTY RE 1,H,False,3995,1,3,3,3,3,5,6,3,3,56.3
COMMUNITY MONTESSORI SCHOOL,480,BOULDER VALLEY RE 2,E,False,1883,9,8,9,7,12,9,8,12,6,
SOARING HAWK ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,8106,9,9,9,7,7,9,9,7,9,
RIVERVIEW ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,False,7402,9,9,9,10,11,9,9,6,12,
MCAULIFFE ELEMENTARY SCHOOL,3120,GREELEY 6,E,False,5660,9,10,11,10,9,9,6,9,9,
BRADY EXPLORATION SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,965,1,1,1,1,1,3,1,3,6,22.2
ESTES PARK MIDDLE SCHOOL,1570,PARK (ESTES PARK) R-3,M,False,2792,9,7,6,8,12,9,7,7,9,
WINDSOR CHARTER ACADEMY,3100,WINDSOR RE-4,M,False,9665,9,10,6,12,9,7,6,6,11,
COLORADO SCHOOL FOR THE DEAF AND BLIND,9000,Colorado School for the De,H,False,9999,1,1,4,2,2,5,6,3,6,
OLDE COLUMBINE HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,False,6498,1,4,2,2,3,3,1,2,7,41.5
ARAPAHOE RIDGE HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,False,125,1,1,2,1,1,3,2,3,4,47.2
R-5 HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,H,False,7236,1,5,5,4,3,1,1,1,1,33.1
HIDDEN LAKE HIGH SCHOOL,70,WESTMINSTER 50,H,False,3931,1,1,1,2,1,1,1,3,3,42.0
CREST VIEW ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,1996,9,7,9,7,12,9,9,11,7,
GUNNISON VALLEY SCHOOL,1360,GUNNISON WATERSHED RE1J,H,False,3701,1,5,3,4,6,1,3,1,1,54.5
COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,E,True,1869,9,6,6,6,6,6,9,6,6,
COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,M,True,1869,9,9,3,6,,10,12,5,13,
GOAL ACADEMY,8001,CHARTER SCHOOL INSTITUTE,H,False,3475,1,5,4,5,3,1,5,1,1,46.5
V.I.L.A.S. ONLINE SCHOOL,260,VILAS RE-5,H,False,9085,1,3,2,3,2,1,1,1,2,35.8
EAGLE COUNTY CHARTER ACADEMY,910,EAGLE COUNTY RE 50,E,False,2340,9,10,12,11,12,6,6,7,6,
KEATING CONTINUING EDUCATION,2690,PUEBLO CITY 60,H,False,7748,1,1,1,1,1,1,1,1,3,0.2
WESTLAKE MIDDLE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,False,9444,9,7,7,8,9,8,9,9,6,
MOUNT VIEW CORE KNOWLEDGE CHARTER SCHOOL,1140,CANON CITY RE-1,E,False,6752,9,8,7,9,7,6,6,6,7,
MESA MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,False,267,9,7,6,8,7,7,5,9,6,
ANIMAS VALLEY ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,False,225,9,9,9,9,6,9,9,9,6,
PATRIOT LEARNING CENTER,1110,FALCON 49,H,False,6810,1,1,1,2,1,1,3,1,1,50.0
WEST JEFFERSON MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,False,9428,9,9,7,9,9,6,6,9,5,
LIMON JUNIOR-SENIOR HIGH SCHOOL,1790,LIMON RE-4J,M,False,5136,9,7,6,9,9,9,9,7,12,
LINTON ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,5196,9,6,7,7,7,9,10,6,9,
WESTVIEW MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,M,False,9430,9,9,7,9,9,9,8,9,8,
WRAY ELEMENTARY SCHOOL,3210,WRAY RD-2,E,False,9725,9,6,9,6,,9,3,12,10,
POUDRE TRANSITION CENTER,1550,POUDRE R-1,H,False,7127,1,4,2,3,4,1,1,1,3,24.8
JUSTICE HIGH CHARTER SCHOOL,480,BOULDER VALLEY RE 2,H,False,4496,1,1,1,1,1,1,1,1,1,43.1
SOUTHWEST OPEN CHARTER SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,H,False,8133,1,3,3,2,3,1,1,2,1,19.9
ANTELOPE TRAILS ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,249,9,11,10,10,9,8,9,7,7,
STONE CREEK SCHOOL,8001,CHARTER SCHOOL INSTITUTE,E,True,653,9,9,11,8,8,7,8,6,8,
STONE CREEK SCHOOL,8001,CHARTER SCHOOL INSTITUTE,M,True,653,9,10,8,12,6,8,9,6,9,
EAGLE COUNTY CHARTER ACADEMY,910,EAGLE COUNTY RE 50,M,False,2340,9,11,9,12,12,6,6,6,6,
FORCE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,3032,9,3,5,4,2,13,9,13,13,
GLENNON HEIGHTS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,3450,9,7,7,7,6,9,8,7,12,
LEWIS-PALMER MIDDLE SCHOOL,1080,LEWIS-PALMER 38,M,False,5098,9,10,9,12,10,7,7,6,9,
FITZSIMMONS MIDDLE SCHOOL,2600,PLATTE CANYON 1,M,False,7048,9,12,7,10,11,6,6,6,6,
ODYSSEY CHARTER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,True,6479,9,7,8,6,6,5,5,5,5,
ODYSSEY CHARTER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,M,True,6479,9,12,7,11,9,13,10,12,12,
CRESTONE CHARTER SCHOOL,2800,MOFFAT 2,E,True,2018,9,6,6,4,,9,11,7,9,
CRESTONE CHARTER SCHOOL,2800,MOFFAT 2,M,True,2018,9,7,6,6,,9,12,6,8,
ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,17,9,10,10,9,10,7,7,7,6,
THE CLASSICAL ACADEMY CHARTER,1040,ACADEMY 20,E,False,1627,9,12,11,10,9,7,7,6,7,
ALTA VISTA CHARTER SCHOOL,2660,LAMAR RE-2,E,False,200,9,12,10,9,9,7,7,6,8,
PEETZ ELEMENTARY SCHOOL,1870,PLATEAU RE-5,E,False,6834,9,11,9,9,12,7,9,7,6,
HYGIENE ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,4202,9,9,10,9,11,6,7,6,6,
NORTHEAST ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,6396,9,9,10,9,9,6,6,9,5,
EVANS INTERNATIONAL ELEMENTARY SCHOOL,1110,FALCON 49,E,False,1618,9,7,8,7,7,8,9,6,9,
BENNETT MIDDLE SCHOOL,50,BENNETT 29J,M,False,774,9,6,6,8,6,8,6,9,9,
HOLMES MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,False,4070,9,9,8,10,9,9,9,9,9,
BEAR CREEK K-8 SCHOOL,1420,JEFFERSON COUNTY R-1,E,True,660,9,9,9,9,8,5,6,3,6,
BEAR CREEK K-8 SCHOOL,1420,JEFFERSON COUNTY R-1,M,True,660,9,11,9,12,12,9,9,9,7,
RICE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,7325,9,7,8,10,9,7,10,3,10,
ADVENTURE ELEMENTARY,10,MAPLETON 1,E,False,507,9,3,3,3,2,12,12,12,11,
FOOTHILLS ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,3104,9,9,11,9,10,9,7,9,7,
DENISON MONTESSORI SCHOOL,880,DENVER COUNTY 1,E,False,2174,9,6,5,6,7,10,9,9,10,
GOLD RUSH ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,False,266,9,9,9,9,9,7,6,6,8,
INDIAN PEAKS CHARTER SCHOOL,1350,EAST GRAND 2,M,False,4277,8,5,5,5,6,10,11,10,8,
EVERGREEN MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,False,2832,9,12,9,12,10,6,5,6,5,
GREEN MOUNTAIN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,3624,9,6,6,6,9,8,7,9,6,
LINCOLN CHARTER ACADEMY,1420,JEFFERSON COUNTY R-1,E,True,5145,9,12,12,9,10,11,11,10,9,
LINCOLN CHARTER ACADEMY,1420,JEFFERSON COUNTY R-1,M,True,5145,9,9,6,10,10,6,6,6,6,
SARGENT ELEMENTARY SCHOOL,2750,SARGENT RE-33J,E,False,7660,9,10,9,9,9,6,6,6,6,
FLAGSTAFF CHARTER ACADEMY,470,ST VRAIN VALLEY RE 1J,E,True,2964,9,11,12,10,12,7,8,8,6,
FLAGSTAFF CHARTER ACADEMY,470,ST VRAIN VALLEY RE 1J,M,True,2964,9,9,6,9,8,6,6,7,6,
PAGOSA SPRINGS MIDDLE SCHOOL,220,ARCHULETA COUNTY 50 JT,M,False,6657,9,6,6,7,9,9,8,7,9,
BELLE CREEK CHARTER SCHOOL,40,BRIGHTON 27J,M,False,700,9,6,6,6,6,10,11,9,9,
SOUTHMOOR ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,8138,9,9,10,9,9,6,5,6,9,
BRUSH CREEK ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,False,38,9,10,12,9,9,8,9,6,9,
LOPEZ ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,5292,9,9,9,9,7,9,9,9,9,
PRAIRIE HILLS ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,7159,9,9,7,8,6,8,9,7,7,
KENDRICK LAKES ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,4550,9,9,8,9,9,7,7,6,9,
STEDMAN ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,8232,9,3,5,4,5,12,7,12,12,
WIGGINS ELEMENTARY SCHOOL,2515,WIGGINS RE-50(J),E,False,9576,9,7,9,7,6,8,10,6,6,
PAGOSA SPRINGS ELEMENTARY SCHOOL,220,ARCHULETA COUNTY 50 JT,E,False,6652,9,6,7,6,,7,6,9,6,
SCOTT ELEMENTARY SCHOOL,3120,GREELEY 6,E,False,7700,9,6,6,6,6,9,8,9,7,
BRICKER ELEMENTARY SCHOOL,980,HARRISON 2,E,False,1000,9,6,7,6,5,8,6,9,6,
SHAFFER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,7780,9,10,11,11,10,7,6,7,7,
PARK HILL SCHOOL,880,DENVER COUNTY 1,E,False,6754,9,6,6,6,6,11,9,10,12,
PINE LANE ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,False,6940,9,9,9,8,8,7,9,6,7,
STRATMOOR HILLS ELEMENTARY SCHOOL,980,HARRISON 2,E,False,8337,9,5,6,6,6,9,9,7,12,
CALICHE JUNIOR-SENIOR HIGH SCHOOL,1828,VALLEY RE-1,M,True,1224,9,9,6,7,12,5,3,6,5,
CROWLEY COUNTY ELEMENTARY SCHOOL,770,CROWLEY COUNTY RE-1-J,E,False,2050,9,6,9,6,8,9,6,9,10,
PRIMERO ELEMENTARY SCHOOL,1590,PRIMERO REORGANIZED 2,E,False,7160,9,6,6,7,6,8,7,10,6,
RANCH CREEK ELEMENTARY,1040,ACADEMY 20,E,False,7247,9,9,9,9,11,7,7,7,6,
SKY VISTA MIDDLE SCHOOL,130,CHERRY CREEK 5,M,False,141,9,7,6,8,8,7,7,9,6,
FRANKTOWN ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,3172,9,11,10,9,9,8,9,7,6,
SUNNYSIDE ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,False,8388,9,12,12,11,12,5,6,3,6,
ELBERT JUNIOR-SENIOR HIGH SCHOOL,950,ELBERT 200,M,False,2574,9,8,6,8,7,8,8,6,9,
FLEMING HIGH SCHOOL,1850,FRENCHMAN RE-3,M,False,2988,9,9,6,10,9,6,10,1,10,
HOLLY JUNIOR HIGH SCHOOL,2670,HOLLY RE-3,M,False,4069,9,6,6,6,6,10,8,10,10,
RIDGWAY MIDDLE SCHOOL,2590,RIDGWAY R-2,M,False,7344,9,9,6,9,11,7,6,9,6,
CEDAREDGE ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),E,False,4182,9,6,7,7,6,8,6,11,6,
MOUNTAIN VISTA COMMUNITY SCHOOL,980,HARRISON 2,E,False,6162,9,6,8,6,6,9,9,9,6,
GENOA-HUGO ELEMENTARY SCHOOL,1780,GENOA-HUGO C113,E,False,4158,9,6,7,6,7,8,6,13,5,
MANCOS ELEMENTARY SCHOOL,2070,MANCOS RE-6,E,False,5446,9,6,6,6,7,9,9,10,6,
EXPLORER ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,2800,9,12,12,12,9,6,6,6,6,
RYAN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,7529,9,8,8,9,6,7,7,6,8,
BEULAH ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,False,852,9,9,10,7,8,7,6,9,7,
LONGFELLOW ELEMENTARY SCHOOL,500,SALIDA R-32,E,False,5268,9,7,9,6,,9,7,9,8,
LANDMARK ACADEMY AT REUNION,40,BRIGHTON 27J,E,False,4950,8,7,9,8,6,9,9,7,7,
NORTH FORK MONTESSORI SCHOOL,870,DELTA COUNTY 50(J),E,False,6298,8,9,9,10,10,6,7,4,6,
DOLORES ELEMENTARY SCHOOL,2055,DOLORES RE-4A,E,False,2204,8,7,8,6,6,7,6,9,7,
TRAILBLAZER ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,8897,8,9,11,10,9,6,7,6,6,
FALCON ELEMENTARY SCHOOL,1110,FALCON 49,E,False,2902,8,6,7,6,7,7,6,9,6,
ROCKY MOUNTAIN CLASSICAL ACADEMY,1110,FALCON 49,M,False,7463,8,8,6,7,6,9,6,10,8,
COLLEGIATE ACADEMY OF COLORADO,1420,JEFFERSON COUNTY R-1,E,True,7701,8,7,8,7,7,5,6,5,6,
COLLEGIATE ACADEMY OF COLORADO,1420,JEFFERSON COUNTY R-1,M,True,7701,8,7,6,7,6,11,11,9,11,
WAYNE CARLE MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,False,9299,8,8,6,7,9,9,9,7,9,
REDLANDS MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,False,7281,8,9,6,9,9,7,6,8,8,
TELLURIDE ELEMENTARY SCHOOL,2830,TELLURIDE R-1,E,False,8786,8,9,9,9,10,6,7,6,6,
MADISON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,5404,8,8,9,9,9,6,5,7,6,
KYFFIN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,4830,8,9,9,9,9,7,7,7,6,
MIAMI-YODER JUNIOR HIGH SCHOOL,1130,MIAMI/YODER 60 JT,M,False,5870,8,7,5,6,8,9,9,9,9,
LA JARA ELEMENTARY SCHOOL,550,NORTH CONEJOS RE-1J,E,False,4836,8,9,9,8,7,6,6,6,9,
EATON MIDDLE SCHOOL,3085,EATON RE-2,M,False,2452,8,8,6,9,8,9,7,9,8,
FOWLER ELEMENTARY SCHOOL,2540,FOWLER R-4J,E,False,56,8,8,10,8,7,7,6,8,7,
RUSSELL MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,False,7523,8,6,6,7,7,9,9,9,8,
SABIN WORLD SCHOOL,880,DENVER COUNTY 1,E,False,7554,8,5,6,5,6,9,7,8,11,
WEBER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,9328,8,6,7,7,9,7,9,7,6,
CLYDE MILLER K-8,180,ADAMS-ARAPAHOE 28J,E,False,1720,8,3,6,5,5,13,9,13,12,
CHALLENGER MIDDLE SCHOOL,1040,ACADEMY 20,M,False,74,8,10,7,11,12,7,8,6,9,
MOUNTAIN VIEW ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,6150,8,7,9,9,6,6,6,9,5,
COMMUNITY LEADERSHIP ACADEMY,30,ADAMS COUNTY 14,M,False,1882,8,4,2,6,4,12,11,9,12,
GRAHAM MESA ELEMENTARY SCHOOL,1195,GARFIELD RE-2,E,False,3281,8,6,6,3,,9,6,11,7,
SKYVIEW ELEMENTARY SCHOOL,3100,WINDSOR RE-4,E,False,7958,8,9,9,10,10,6,6,7,6,
POMONA ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,7110,8,8,7,6,6,8,7,6,9,
MOFFAT MIDDLE SCHOOL,2800,MOFFAT 2,E,True,5956,8,6,4,6,,,,,,
MOFFAT MIDDLE SCHOOL,2800,MOFFAT 2,M,True,5956,8,7,3,7,5,11,13,6,12,
COLUMBIA ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,1798,8,6,6,6,5,9,7,9,9,
DOLORES MIDDLE SCHOOL,2055,DOLORES RE-4A,M,False,2206,8,7,6,9,7,7,5,9,6,
BRECKENRIDGE ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,False,8372,8,9,9,9,10,7,6,7,7,
SKYLINE ELEMENTARY SCHOOL,1140,CANON CITY RE-1,E,False,7950,8,5,6,3,5,10,13,7,9,
THE PINNACLE CHARTER SCHOOL ELEMENTARY,8001,CHARTER SCHOOL INSTITUTE,E,False,654,8,6,6,6,6,9,10,9,7,
ELDORADO ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,2656,8,9,10,9,6,6,6,6,7,
IRON HORSE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,4292,8,9,9,9,7,7,6,8,7,
MEADOW VIEW ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,5745,8,9,9,7,6,8,7,7,8,
HORIZON MIDDLE SCHOOL,1110,FALCON 49,M,False,4102,8,7,6,8,7,7,7,7,6,
MOUNTAIN VISTA COMMUNITY SCHOOL,980,HARRISON 2,M,False,6162,8,6,5,6,5,9,9,9,9,
WOODROW WILSON CHARTER ACADEMY,1420,JEFFERSON COUNTY R-1,E,True,9427,8,7,12,9,7,6,6,6,3,
WOODROW WILSON CHARTER ACADEMY,1420,JEFFERSON COUNTY R-1,M,True,9427,8,9,7,7,6,9,9,12,6,
JULESBURG HIGH SCHOOL,2862,JULESBURG RE-1,M,False,4492,8,9,6,7,7,6,5,6,9,
HOFF ELEMENTARY SCHOOL,3090,KEENESBURG RE-3(J),E,False,4526,8,9,7,8,6,7,6,7,7,
NATURITA ELEMENTARY SCHOOL,2190,WEST END RE-2,E,False,6196,8,8,10,8,6,7,6,6,7,
ROOSEVELT EDISON CHARTER SCHOOL,1010,COLORADO SPRINGS 11,E,False,7482,8,6,6,6,5,9,7,9,7,
SOARING EAGLES ELEMENTARY SCHOOL,980,HARRISON 2,E,False,8034,8,8,10,9,7,8,9,6,9,
JEFFERSON ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,4402,8,10,10,10,9,6,6,6,7,
NISLEY ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,6264,8,5,6,5,4,9,9,7,9,
DELTA MIDDLE SCHOOL,870,DELTA COUNTY 50(J),M,False,2160,8,5,6,6,6,9,7,9,9,
INDEPENDENCE ACADEMY,2000,MESA COUNTY VALLEY 51,E,True,2128,8,8,6,6,7,8,10,7,6,
INDEPENDENCE ACADEMY,2000,MESA COUNTY VALLEY 51,M,True,2128,8,7,2,6,3,12,13,6,13,
NORTH VALLEY MIDDLE SCHOOL,3080,WELD COUNTY RE-1,M,False,4854,8,6,5,6,7,9,11,7,9,
ROCKY TOP MIDDLE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,False,57,8,7,7,9,9,7,7,7,6,
HOLLY HILLS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,4062,8,5,6,6,6,9,7,9,9,
BRADLEY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,964,8,6,7,6,6,9,9,7,8,
JOHNSON ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,4450,8,1,5,3,1,12,12,12,9,
EAGLE VALLEY ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,False,2346,8,6,7,6,8,7,6,7,8,
KATHRYN SENOR ELEMENTARY SCHOOL,1195,GARFIELD RE-2,E,False,4510,8,6,9,6,,9,6,9,10,
CHAPPELOW K-8 MAGNET SCHOOL,3120,GREELEY 6,E,False,1500,8,8,7,7,9,7,9,7,6,
EDGEWATER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,2496,8,5,5,4,4,12,12,10,12,
FAIRMOUNT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,2866,8,9,9,9,9,8,9,6,8,
EAST ELEMENTARY SCHOOL,140,LITTLETON 6,E,False,2382,8,5,7,6,5,9,9,5,12,
FRUITA MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,False,3244,8,7,6,7,,7,6,9,6,
LESHER MIDDLE SCHOOL,1550,POUDRE R-1,M,False,5068,8,9,7,9,9,6,6,9,6,
LEGACY ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,60,8,6,6,6,6,9,9,9,9,
SODA CREEK ELEMENTARY SCHOOL,2770,STEAMBOAT SPRINGS RE-2,E,False,8208,8,8,9,6,9,6,6,7,6,
SOUTH ELEMENTARY SCHOOL,40,BRIGHTON 27J,E,False,8060,8,6,9,6,5,8,7,6,10,
ACADEMY OF CHARTER SCHOOLS,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,15,8,9,9,9,6,7,8,7,6,
OTERO ELEMENTARY SCHOOL,980,HARRISON 2,E,False,6578,8,6,8,9,6,6,6,6,7,
JOHN WESLEY POWELL MIDDLE SCHOOL,140,LITTLETON 6,M,False,4447,8,9,7,11,11,6,6,6,7,
GOODNIGHT ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,M,False,1504,8,10,9,12,8,6,7,5,9,
SOUTHEAST ELEMENTARY SCHOOL,40,BRIGHTON 27J,E,False,8130,7,6,8,7,6,9,9,9,9,
BUFFALO TRAIL ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,1155,7,7,9,7,7,6,7,6,6,
