school,district_id,district_name,emh,emh_combined,school_id,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate,year
CALHAN HIGH SCHOOL,970,CALHAN RJ-1,H,True,1218,9,7,6,9,9,9,9,6,12,88.,2012
CALHAN MIDDLE SCHOOL,970,CALHAN RJ-1,M,True,1215,6,6,7,6,7,6,6,6,6,,2012
CAMPO ELEMENTARY SCHOOL,270,CAMPO RE-6,E,True,1248,,9,8,7,,,,,,,2012
CAMPO UNDIVIDED HIGH SCHOOL,270,CAMPO RE-6,M,True,1252,3,6,6,1,,3,3,2,6,,2012
CAMPO UNDIVIDED HIGH SCHOOL,270,CAMPO RE-6,H,True,1252,,3,5,1,,,,,,86.,2012
CANON CITY HIGH SCHOOL,1140,CANON CITY RE-1,H,True,1266,2,6,6,6,6,1,1,2,2,75.,2012
CANON CITY MIDDLE SCHOOL,1140,CANON CITY RE-1,M,True,1262,6,6,6,6,6,5,6,4,4,,2012
CANON ONLINE ACADEMY,1140,CANON CITY RE-1,M,True,419,,,,,,,,,,,2012
CANON ONLINE ACADEMY,1140,CANON CITY RE-1,H,True,419,,,,,,,,,,,2012
HARRISON SCHOOL,1140,CANON CITY RE-1,E,True,3802,7,9,8,6,6,7,7,9,5,,2012
HARRISON SCHOOL,1140,CANON CITY RE-1,M,True,3802,6,6,6,6,11,6,7,5,6,,2012
LINCOLN ELEMENTARY SCHOOL,1140,CANON CITY RE-1,E,True,5166,8,6,7,6,9,12,9,10,12,,2012
MCKINLEY ELEMENTARY SCHOOL,1140,CANON CITY RE-1,E,True,5704,1,6,6,6,6,1,1,1,2,,2012
MOUNT VIEW CORE KNOWLEDGE CHARTER SCHOOL,1140,CANON CITY RE-1,E,True,6752,7,9,8,9,6,6,6,6,6,,2012
MOUNT VIEW CORE KNOWLEDGE CHARTER SCHOOL,1140,CANON CITY RE-1,M,True,6752,10,9,7,9,7,11,10,9,12,,2012
SKYLINE ELEMENTARY SCHOOL,1140,CANON CITY RE-1,E,True,7950,6,6,6,6,6,7,6,9,6,,2012
WASHINGTON ELEMENTARY SCHOOL,1140,CANON CITY RE-1,E,True,9248,9,7,6,6,6,10,10,9,9,,2012
CENTENNIAL ELEMENTARY SCHOOL,640,CENTENNIAL R-1,E,True,7588,1,3,1,3,1,2,1,5,5,,2012
CENTENNIAL HIGH SCHOOL,640,CENTENNIAL R-1,H,True,1398,7,3,1,5,2,12,12,11,11,74.,2012
CENTENNIAL JUNIOR HIGH SCHOOL,640,CENTENNIAL R-1,M,True,1396,3,3,3,2,2,6,4,6,6,,2012
CENTER HIGH SCHOOL,2810,CENTER 26 JT,H,True,1420,9,3,3,5,6,10,10,6,12,90.,2012
CENTER VIRTUAL ACADEMY,2810,CENTER 26 JT,H,True,1368,,,,,,,,,,,2012
HASKIN ELEMENTARY SCHOOL,2810,CENTER 26 JT,E,True,1412,3,2,1,1,5,5,5,6,6,,2012
SKOGLUND MIDDLE SCHOOL,2810,CENTER 26 JT,M,True,1416,7,2,3,3,2,9,10,9,9,,2012
ANIMAS HIGH SCHOOL,8001,CHARTER SCHOOL INSTITUTE,H,True,75,9,10,10,10,9,6,6,6,6,,2012
CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,True,1279,6,6,5,7,6,5,5,5,6,,2012
CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,True,1279,7,7,6,9,6,8,7,6,9,,2012
CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,H,True,1279,6,9,6,10,5,7,6,6,11,,2012
COLORADO CALVERT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,True,1901,3,6,3,5,6,2,4,1,3,,2012
COLORADO CALVERT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,True,1901,4,7,3,6,6,5,7,1,6,,2012
COLORADO PROVOST ACADEMY,8001,CHARTER SCHOOL INSTITUTE,H,True,1877,1,4,1,2,2,1,6,1,1,5.,2012
COLORADO SPRINGS CHARTER ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,True,1791,7,9,7,9,9,9,6,7,9,,2012
COLORADO SPRINGS CHARTER ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,True,1791,13,10,11,11,13,11,10,9,10,,2012
COLORADO SPRINGS EARLY COLLEGES,8001,CHARTER SCHOOL INSTITUTE,H,True,1795,6,8,9,9,7,5,6,3,5,64.,2012
COMMUNITY LEADERSHIP ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,True,1882,12,7,9,11,7,12,6,9,12,,2012
COMMUNITY LEADERSHIP ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,True,1882,9,5,6,6,6,11,9,12,12,,2012
EARLY COLLEGE HIGH SCHOOL AT ARVADA,8001,CHARTER SCHOOL INSTITUTE,M,True,2837,1,6,1,5,5,1,1,1,2,,2012
EARLY COLLEGE HIGH SCHOOL AT ARVADA,8001,CHARTER SCHOOL INSTITUTE,H,True,2837,6,7,6,6,6,5,6,4,5,50.,2012
FRONTIER CHARTER ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,True,35,1,5,5,5,6,1,3,3,1,,2012
FRONTIER CHARTER ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,True,35,,7,6,6,,4,2,6,6,,2012
HIGH POINT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,True,655,7,5,6,5,6,8,12,5,6,,2012
HIGH POINT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,True,655,6,5,4,5,5,6,7,3,7,,2012
MOUNTAIN MIDDLE SCHOOL,8001,CHARTER SCHOOL INSTITUTE,M,True,5453,2,8,7,7,5,1,1,2,1,,2012
PIKES PEAK PREP,8001,CHARTER SCHOOL INSTITUTE,E,True,8929,5,6,6,6,6,5,6,5,5,,2012
PIKES PEAK PREP,8001,CHARTER SCHOOL INSTITUTE,M,True,8929,9,6,6,6,4,10,11,7,12,,2012
PIKES PEAK PREP,8001,CHARTER SCHOOL INSTITUTE,H,True,8929,6,9,7,7,7,12,12,9,12,47.,2012
RICARDO FLORES MAGON ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,True,7278,9,9,12,9,8,7,5,8,10,,2012
ROSS MONTESSORI SCHOOL,8001,CHARTER SCHOOL INSTITUTE,E,True,7512,5,9,6,9,8,1,4,1,5,,2012
ROSS MONTESSORI SCHOOL,8001,CHARTER SCHOOL INSTITUTE,M,True,7512,9,9,6,10,6,9,9,6,9,,2012
SCHOLARS TO LEADERS ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,True,1376,1,5,4,5,5,1,3,3,1,,2012
SCHOLARS TO LEADERS ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,True,1376,4,3,1,4,1,5,6,1,9,,2012
STONE CREEK SCHOOL,8001,CHARTER SCHOOL INSTITUTE,E,True,653,6,6,9,8,7,4,5,3,6,,2012
STONE CREEK SCHOOL,8001,CHARTER SCHOOL INSTITUTE,M,True,653,12,10,10,12,10,10,10,9,9,,2012
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,8001,CHARTER SCHOOL INSTITUTE,E,True,657,7,8,9,7,9,7,9,6,8,,2012
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,8001,CHARTER SCHOOL INSTITUTE,M,True,657,7,6,4,5,,9,12,6,9,,2012
THE PINNACLE CHARTER SCHOOL ELEMENTARY,8001,CHARTER SCHOOL INSTITUTE,E,True,654,6,5,6,6,6,6,7,6,6,,2012
THE PINNACLE CHARTER SCHOOL HIGH,8001,CHARTER SCHOOL INSTITUTE,H,True,6914,6,6,6,6,6,8,9,6,9,89.,2012
THE PINNACLE CHARTER SCHOOL MIDDLE,8001,CHARTER SCHOOL INSTITUTE,M,True,6913,6,6,6,6,5,6,6,5,6,,2012
THE VANGUARD SCHOOL (HIGH),8001,CHARTER SCHOOL INSTITUTE,H,True,9057,13,13,13,13,13,12,13,9,11,89.,2012
THE VANGUARD SCHOOL (MIDDLE),8001,CHARTER SCHOOL INSTITUTE,M,True,9051,9,12,12,13,12,6,7,5,6,,2012
THOMAS MACLAREN STATE CHARTER SCHOOL,8001,CHARTER SCHOOL INSTITUTE,M,True,8825,9,12,9,12,9,7,9,5,9,,2012
THOMAS MACLAREN STATE CHARTER SCHOOL,8001,CHARTER SCHOOL INSTITUTE,H,True,8825,9,12,13,13,12,12,9,13,9,,2012
CHERAW ELEMENTARY SCHOOL,2560,CHERAW 31,E,True,1538,2,5,5,4,8,3,3,5,2,,2012
CHERAW HIGH SCHOOL,2560,CHERAW 31,H,True,1546,9,7,5,8,8,7,6,8,9,89.,2012
CHERAW MIDDLE SCHOOL,2560,CHERAW 31,M,True,1548,6,6,5,6,5,8,9,8,6,,2012
ANTELOPE RIDGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,242,10,7,9,9,8,9,9,9,9,,2012
ARROWHEAD ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,348,6,6,6,6,6,6,7,6,6,,2012
ASPEN CROSSING ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,442,9,8,9,9,7,7,7,6,7,,2012
BELLEVIEW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,714,13,9,12,12,10,12,11,12,13,,2012
BUFFALO TRAIL ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,1155,6,6,7,6,6,6,5,6,6,,2012
CAMPUS MIDDLE SCHOOL,130,CHERRY CREEK 5,M,True,1566,10,10,12,11,10,8,7,6,8,,2012
CANYON CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,1273,11,8,9,9,7,11,10,11,9,,2012
CHALLENGE SCHOOL,130,CHERRY CREEK 5,E,True,1510,11,13,13,13,13,9,9,8,9,,2012
CHALLENGE SCHOOL,130,CHERRY CREEK 5,M,True,1510,12,13,13,13,13,9,10,9,7,,2012
CHEROKEE TRAIL HIGH SCHOOL,130,CHERRY CREEK 5,H,True,1551,9,9,8,7,6,7,9,7,6,87.,2012
CHERRY CREEK CHARTER ACADEMY,130,CHERRY CREEK 5,E,True,1571,10,12,12,12,9,9,7,9,6,,2012
CHERRY CREEK CHARTER ACADEMY,130,CHERRY CREEK 5,M,True,1571,13,13,12,12,12,12,10,12,9,,2012
CHERRY CREEK HIGH SCHOOL,130,CHERRY CREEK 5,H,True,1570,11,10,12,12,12,9,6,9,8,89.,2012
CHERRY HILLS VILLAGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,1574,12,12,12,12,12,13,13,10,13,,2012
CIMARRON ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,1614,6,6,6,6,5,6,6,6,5,,2012
COTTONWOOD CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,1916,13,12,13,12,12,13,13,12,13,,2012
COYOTE HILLS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,243,9,12,12,12,12,6,6,7,7,,2012
CREEKSIDE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,1970,10,9,10,9,9,10,12,9,9,,2012
DAKOTA VALLEY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,2094,7,6,7,7,7,6,6,6,6,,2012
DRY CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,2292,12,12,12,12,11,13,12,11,12,,2012
EAGLECREST HIGH SCHOOL,130,CHERRY CREEK 5,H,True,2357,6,6,7,6,6,7,6,7,6,81.,2012
EASTRIDGE COMMUNITY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,2428,6,5,5,3,5,6,6,8,3,,2012
FALCON CREEK MIDDLE SCHOOL,130,CHERRY CREEK 5,M,True,2897,9,9,8,9,8,8,9,6,10,,2012
FOX HOLLOW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,16,9,9,10,10,9,9,9,9,9,,2012
FOX RIDGE MIDDLE SCHOOL,130,CHERRY CREEK 5,M,True,3030,6,8,9,9,7,5,6,6,4,,2012
GRANDVIEW HIGH SCHOOL,130,CHERRY CREEK 5,H,True,3589,9,9,9,10,9,9,8,9,7,91.,2012
GREENWOOD ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,3648,12,12,12,12,12,10,9,9,9,,2012
HERITAGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,3926,9,9,10,10,9,9,10,6,8,,2012
HIGH PLAINS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,1572,9,9,9,9,9,10,9,9,10,,2012
HIGHLINE COMMUNITY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,3988,5,5,5,6,3,6,4,5,6,,2012
HOLLY HILLS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,4062,6,5,6,6,6,7,6,6,6,,2012
HOMESTEAD ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,4078,12,12,12,12,12,9,9,10,6,,2012
HORIZON MIDDLE SCHOOL,130,CHERRY CREEK 5,M,True,4100,6,6,5,6,6,7,7,6,7,,2012
INDEPENDENCE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,4276,5,5,6,5,6,6,5,6,6,,2012
INDIAN RIDGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,4280,10,9,10,9,10,9,10,6,9,,2012
LAREDO MIDDLE SCHOOL,130,CHERRY CREEK 5,M,True,4975,6,6,7,6,7,6,6,6,6,,2012
LIBERTY MIDDLE SCHOOL,130,CHERRY CREEK 5,M,True,18,7,8,8,9,9,6,6,4,6,,2012
MEADOW POINT ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,5744,6,6,6,6,6,6,6,6,6,,2012
MISSION VIEJO ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,5934,6,6,6,6,6,6,5,7,6,,2012
OVERLAND HIGH SCHOOL,130,CHERRY CREEK 5,H,True,6625,5,5,6,5,5,6,7,2,6,79.,2012
PEAKVIEW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,6820,12,9,9,9,9,12,12,12,10,,2012
PINE RIDGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,6955,12,9,10,9,9,12,11,12,9,,2012
POLTON COMMUNITY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,7102,6,6,6,6,6,6,6,9,6,,2012
PONDEROSA ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,7116,6,6,6,6,6,8,6,7,7,,2012
PRAIRIE MIDDLE SCHOOL,130,CHERRY CREEK 5,M,True,7158,6,5,6,5,6,9,6,9,6,,2012
RED HAWK RIDGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,7277,8,6,6,7,6,8,7,7,8,,2012
ROLLING HILLS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,7476,10,12,12,11,9,9,8,9,8,,2012
SAGEBRUSH ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,7559,6,6,6,6,6,6,6,5,6,,2012
SKY VISTA MIDDLE SCHOOL,130,CHERRY CREEK 5,M,True,141,9,7,9,7,9,7,7,7,6,,2012
SMOKY HILL HIGH SCHOOL,130,CHERRY CREEK 5,H,True,8020,6,6,7,7,6,6,6,6,6,80.,2012
SUMMIT ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,8380,6,6,6,6,6,6,6,5,6,,2012
SUNRISE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,8394,6,6,6,6,6,7,6,7,6,,2012
THUNDER RIDGE MIDDLE SCHOOL,130,CHERRY CREEK 5,M,True,8848,6,7,9,7,8,6,7,6,6,,2012
TIMBERLINE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,8850,7,7,7,8,6,7,5,8,8,,2012
TRAILS WEST ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,8887,6,7,8,8,7,5,6,5,5,,2012
VILLAGE EAST COMMUNITY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,9108,5,5,5,6,5,6,5,5,5,,2012
WALNUT HILLS COMMUNITY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,9200,9,9,9,7,10,9,10,7,7,,2012
WEST MIDDLE SCHOOL,130,CHERRY CREEK 5,M,True,1568,9,10,12,10,10,6,6,6,6,,2012
WILLOW CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,True,9624,13,12,13,12,12,10,10,9,9,,2012
CHEYENNE WELLS ELEMENTARY SCHOOL,520,CHEYENNE COUNTY RE-5,E,True,1608,6,6,6,6,6,6,4,6,7,,2012
CHEYENNE WELLS HIGH SCHOOL,520,CHEYENNE COUNTY RE-5,H,True,1612,6,3,6,4,3,6,5,9,6,93.,2012
CHEYENNE WELLS MIDDLE SCHOOL,520,CHEYENNE COUNTY RE-5,M,True,1610,6,5,7,6,3,6,5,8,4,,2012
BROADMOOR ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,True,1592,10,11,10,12,12,9,7,7,9,,2012
CHEYENNE MOUNTAIN CHARTER ACADEMY,1020,CHEYENNE MOUNTAIN 12,E,True,1582,9,12,12,13,10,8,9,6,7,,2012
CHEYENNE MOUNTAIN ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,True,1586,12,12,13,13,13,10,7,9,12,,2012
CHEYENNE MOUNTAIN HIGH SCHOOL,1020,CHEYENNE MOUNTAIN 12,H,True,1590,12,12,12,12,10,9,8,9,6,94.,2012
CHEYENNE MOUNTAIN JUNIOR HIGH SCHOOL,1020,CHEYENNE MOUNTAIN 12,M,True,1588,9,10,10,11,11,7,6,6,9,,2012
GOLD CAMP ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,True,3482,10,12,11,12,11,9,9,9,9,,2012
PINON VALLEY ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,True,6953,12,12,9,12,11,10,10,9,10,,2012
SKYWAY PARK ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,True,1604,9,10,9,9,9,9,8,7,9,,2012
CARLSON ELEMENTARY SCHOOL,540,CLEAR CREEK RE-1,E,True,4212,5,6,6,6,6,5,6,4,3,,2012
CLEAR CREEK HIGH SCHOOL,540,CLEAR CREEK RE-1,H,True,4216,9,6,7,6,7,8,6,7,9,84.,2012
CLEAR CREEK MIDDLE SCHOOL,540,CLEAR CREEK RE-1,M,True,1660,6,7,7,7,7,6,5,6,5,,2012
GEORGETOWN COMMUNITY SCHOOL,540,CLEAR CREEK RE-1,E,True,3385,6,9,9,9,12,6,6,6,4,,2012
KING-MURPHY ELEMENTARY SCHOOL,540,CLEAR CREEK RE-1,E,True,4700,9,11,9,12,11,6,5,5,8,,2012
ACADEMY FOR ADVANCED AND CREATIVE LEARNING,1010,COLORADO SPRINGS 11,E,True,517,6,10,8,9,9,4,6,3,4,,2012
ACADEMY FOR ADVANCED AND CREATIVE LEARNING,1010,COLORADO SPRINGS 11,M,True,517,,7,9,9,,6,3,7,7,,2012
ACHIEVEK12,1010,COLORADO SPRINGS 11,E,True,269,,2,3,1,,,,,,,2012
ACHIEVEK12,1010,COLORADO SPRINGS 11,M,True,269,1,5,1,5,6,1,1,1,1,,2012
ACHIEVEK12,1010,COLORADO SPRINGS 11,H,True,269,,3,1,3,,1,1,2,3,-,2012
AUDUBON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,452,6,6,6,6,6,6,5,6,5,,2012
BATES ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,594,1,6,6,6,6,1,3,3,1,,2012
BRISTOL ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,1032,7,6,6,6,6,7,7,7,6,,2012
BUENA VISTA ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,1126,6,9,6,7,9,5,6,4,3,,2012
CARVER ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,1340,6,6,6,6,5,7,7,8,4,,2012
CHIPETA ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,1613,12,10,12,12,11,9,10,7,9,,2012
CIVA CHARTER ACADEMY,1010,COLORADO SPRINGS 11,H,True,1616,6,6,5,6,5,6,9,6,6,71.,2012
COLUMBIA ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,1798,9,7,7,7,5,9,6,12,8,,2012
CORONADO HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,True,1870,6,7,9,7,7,4,6,3,5,78.,2012
DOHERTY HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,True,2202,7,7,8,7,7,6,6,7,6,77.,2012
EDISON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,2510,11,6,6,6,5,13,12,13,12,,2012
FREEDOM ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,3175,9,8,9,7,7,9,9,9,8,,2012
FREMONT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,3218,6,6,6,6,6,8,7,8,8,,2012
GALILEO SCHOOL OF MATH AND SCIENCE,1010,COLORADO SPRINGS 11,M,True,3360,6,6,6,5,6,6,5,7,4,,2012
GLOBE CHARTER SCHOOL,1010,COLORADO SPRINGS 11,E,True,3470,6,6,7,5,6,7,9,9,5,,2012
GRANT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,3592,6,6,6,6,6,5,6,4,6,,2012
HENRY ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,3920,3,5,6,6,6,1,3,1,2,,2012
HOLMES MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,True,4070,9,9,9,9,9,9,7,9,6,,2012
HOWBERT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,4138,11,9,9,10,12,9,6,9,9,,2012
HUNT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,3890,5,2,3,3,3,6,5,6,6,,2012
JACK SWIGERT AEROSPACE ACADEMY,1010,COLORADO SPRINGS 11,M,True,8457,2,2,1,2,1,3,5,2,3,,2012
JACKSON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,4358,6,6,7,6,9,6,4,9,3,,2012
JENKINS MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,True,4424,7,9,9,9,9,6,6,6,5,,2012
KELLER ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,4530,9,6,6,6,6,9,10,9,7,,2012
KING ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,5604,6,6,6,6,6,6,6,6,6,,2012
LINCOLN ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,5162,11,5,6,5,5,13,10,13,11,,2012
MADISON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,5404,7,7,8,9,6,6,6,6,7,,2012
MANN MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,True,4090,6,6,6,5,6,6,6,6,5,,2012
MARTINEZ ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,5610,6,9,9,9,6,5,5,5,6,,2012
MCAULIFFE ELEMENTARY,1010,COLORADO SPRINGS 11,E,True,1625,6,5,6,5,4,7,5,12,6,,2012
MIDLAND ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,5878,6,6,6,6,6,6,6,9,6,,2012
MITCHELL HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,True,5948,5,3,3,3,5,6,5,6,6,72.,2012
MONROE ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,5988,4,3,5,5,3,6,6,6,1,,2012
NORTH MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,True,6306,5,6,6,6,6,3,5,3,3,,2012
PALMER HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,True,6680,7,7,9,7,7,9,7,10,6,74.,2012
PENROSE ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,6856,3,6,6,6,6,2,1,1,4,,2012
QUEEN PALMER ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,7228,4,4,6,4,3,5,1,12,1,,2012
ROGERS ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,9618,5,5,3,5,5,6,6,6,4,,2012
ROOSEVELT EDISON CHARTER SCHOOL,1010,COLORADO SPRINGS 11,E,True,7482,6,5,6,6,5,6,6,5,3,,2012
RUDY ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,7513,6,7,9,7,7,6,10,3,6,,2012
RUSSELL MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,True,7523,6,6,6,6,6,6,7,6,6,,2012
SABIN MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,True,7556,5,6,6,6,6,3,6,3,3,,2012
SCOTT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,7705,10,12,12,12,10,6,7,6,7,,2012
SPACE TECHNOLOGY AND ARTS ACADEMY (STAR ACADEMY),1010,COLORADO SPRINGS 11,E,True,8359,1,5,5,5,6,1,1,1,1,,2012
SPACE TECHNOLOGY AND ARTS ACADEMY (STAR ACADEMY),1010,COLORADO SPRINGS 11,M,True,8359,6,3,5,4,,9,7,6,9,,2012
STEELE ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,8246,12,9,12,10,10,10,6,12,9,,2012
STRATTON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,8346,6,9,7,9,7,6,8,5,7,,2012
TAYLOR ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,8466,6,6,6,4,6,6,3,12,5,,2012
TRAILBLAZER ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,8902,6,8,7,9,7,3,4,2,3,,2012
TWAIN ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,5576,5,5,5,5,3,6,6,5,5,,2012
WASSON HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,True,9298,2,2,4,3,3,2,1,2,2,65.,2012
WEST ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,9445,4,5,5,5,6,3,5,1,3,,2012
WEST INTERGENERATIONAL CENTER,1010,COLORADO SPRINGS 11,M,True,9404,6,6,6,5,6,6,6,6,4,,2012
WILSON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,True,9660,6,6,6,6,5,6,6,5,6,,2012
COTOPAXI ELEMENTARY SCHOOL,1160,COTOPAXI RE-3,E,True,3220,9,6,6,6,7,8,6,12,6,,2012
COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,1160,COTOPAXI RE-3,M,True,3228,11,7,6,6,,12,13,8,10,,2012
COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,1160,COTOPAXI RE-3,H,True,3228,9,7,7,9,7,9,7,8,10,83.,2012
CREEDE MIDDLE/HIGH SCHOOL,2010,CREEDE SCHOOL DISTRICT,M,True,1966,,9,8,6,,6,6,5,6,,2012
CREEDE MIDDLE/HIGH SCHOOL,2010,CREEDE SCHOOL DISTRICT,H,True,1966,,9,9,9,12,9,7,10,9,97.,2012
LAMB ELEMENTARY SCHOOL,2010,CREEDE SCHOOL DISTRICT,E,True,1962,1,9,8,9,6,1,1,1,1,,2012
CRESSON ELEMENTARY SCHOOL,3010,CRIPPLE CREEK-VICTOR RE-1,E,True,9080,6,7,6,6,9,6,3,6,9,,2012
CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,3010,CRIPPLE CREEK-VICTOR RE-1,M,True,2024,5,5,6,5,6,5,6,6,2,,2012
